p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.856885077136543,0.366,0.032,0,1,ETS1
0,3.841300716095674,0.218,0.021,0,1,STAT4
0,3.8228055622218973,0.118,0.013,0,1,ARHGAP45
0,3.813892223737266,0.269,0.033,0,1,EMB
0,3.7991391100874683,0.203,0.023,0,1,PBXIP1
0,3.7991042930032295,0.555,0.065,0,1,GYPC
0,3.784992657303226,0.513,0.065,0,1,STK17B
0,3.7837975470222878,0.246,0.032,0,1,SOCS1
0,3.780773310309104,0.277,0.024,0,1,IFITM1
0,3.777921241276803,0.158,0.017,0,1,SPN
0,3.7769839471301694,0.284,0.031,0,1,SLA
0,3.766788300360323,0.448,0.053,0,1,CLEC2B
0,3.7306547784426165,0.3,0.031,0,1,CNN2
0,3.715491222386735,0.135,0.01,0,1,TMIGD2
0,3.712811911431868,0.804,0.111,0,1,ARHGDIB
0,3.6964074026937457,0.242,0.028,0,1,DOK2
0,3.696235246587333,0.171,0.02,0,1,MFNG
0,3.689308235851582,0.265,0.032,0,1,ITGA4
0,3.6796293328378944,0.293,0.028,0,1,PTPN7
0,3.67283431721236,0.174,0.019,0,1,SLFN5
0,3.6726299208955933,0.138,0.017,0,1,CASP8
0,3.663958791899656,0.247,0.028,0,1,GIMAP4
0,3.6437777678315655,0.21,0.023,0,1,IL27RA
0,3.6305744557866957,0.239,0.027,0,1,SYTL3
0,3.6100181760748478,0.144,0.015,0,1,TMC8
0,3.6099254261803,0.391,0.04,0,1,NKG7
0,3.6055504989918656,0.5,0.054,0,1,CD48
0,3.6037581202586795,0.172,0.025,0,1,AC058791.1
0,3.598090587293635,0.367,0.044,0,1,SAMSN1
0,3.588926548045126,0.609,0.071,0,1,TNFAIP3
0,3.5840925070009337,0.145,0.017,0,1,DEF6
0,3.5802096626680013,0.616,0.073,0,1,RGS1
0,3.5778969844226287,0.129,0.019,0,1,PTGER2
0,3.5754548354304756,0.668,0.122,0,1,CORO1A
0,3.5582433825608613,0.136,0.013,0,1,RASGRP1
0,3.5526258307753835,0.237,0.029,0,1,AKNA
0,3.543436235515564,0.26,0.027,0,1,SELL
0,3.541408336225901,0.788,0.283,0,1,ZFP36L2
0,3.530660995776147,0.233,0.034,0,1,APOBEC3G
0,3.5305224980282324,0.589,0.047,0,1,CD69
0,3.527887423514111,0.116,0.014,0,1,SELPLG
0,3.524679209982704,0.164,0.017,0,1,ARAP2
0,3.516047281442514,0.295,0.036,0,1,GPR65
0,3.510558120756737,0.542,0.055,0,1,ISG20
0,3.50742899013468,0.188,0.022,0,1,ARHGAP9
0,3.4974515993380697,0.274,0.019,0,1,CTSW
0,3.491085781226701,0.586,0.078,0,1,GMFG
0,3.487194821231996,0.309,0.037,0,1,ADGRE5
0,3.4781954745064825,0.167,0.019,0,1,SYTL1
0,3.4760572252242916,0.552,0.072,0,1,GPSM3
0,3.4678230585510024,0.613,0.163,0,1,CREM
0,3.4516068101194812,0.846,0.169,0,1,CXCR4
0,3.43858972569359,0.347,0.064,0,1,SPOCK2
0,3.4382969824568916,0.146,0.019,0,1,MYO1G
0,3.4367613291011674,0.125,0.008,0,1,PRF1
0,3.4362073105935296,0.686,0.111,0,1,S100A4
0,3.4017153865623424,0.24,0.037,0,1,BTN3A2
0,3.387163500258143,0.126,0.01,0,1,IL2RB
0,3.3805858029694553,0.313,0.042,0,1,CEMIP2
0,3.3593462449124125,0.329,0.045,0,1,HLA-F
0,3.354706343913241,0.212,0.027,0,1,RASSF5
0,3.3507195488410835,0.178,0.023,0,1,ARHGAP30
0,3.349474946406507,0.185,0.022,0,1,CCND2
0,3.345800583486044,0.246,0.035,0,1,ARID5A
0,3.3229184272146703,0.268,0.056,0,1,MCUB
0,3.3191964207974887,0.225,0.035,0,1,TAP1
0,3.318356905479841,0.241,0.042,0,1,OXNAD1
0,3.3014671482200093,0.303,0.074,0,1,PIK3IP1
0,3.2971025852327918,0.418,0.068,0,1,STK17A
0,3.29369306320494,0.331,0.051,0,1,KLF2
0,3.287598595908925,0.26,0.03,0,1,ALOX5AP
0,3.2788217962984167,0.124,0.021,0,1,TRADD
0,3.251457420093943,0.613,0.103,0,1,FXYD5
0,3.244206538244365,0.993,0.491,0,1,B2M
0,3.241010639771277,0.742,0.26,0,1,TSC22D3
0,3.23167197622751,0.835,0.142,0,1,HLA-E
0,3.227032040556992,0.243,0.034,0,1,TAGAP
0,3.2267744228328836,0.502,0.083,0,1,ELF1
0,3.21288789938564,0.242,0.024,0,1,PRKCH
0,3.212836803664542,0.527,0.085,0,1,DUSP2
0,3.195655659779055,0.206,0.032,0,1,GBP2
0,3.1897779254353607,0.204,0.045,0,1,RCAN3
0,3.184638315500475,0.41,0.064,0,1,PSMB9
0,3.181864541593055,0.326,0.069,0,1,CCL4
0,3.1755963281861286,0.225,0.031,0,1,APBB1IP
0,3.174618581337996,0.396,0.075,0,1,LCP1
0,3.1721288123333986,0.317,0.08,0,1,BCL11B
0,3.1717503617664824,0.159,0.018,0,1,MATK
0,3.168818350097409,0.157,0.023,0,1,JAML
