IMR5	SHEP	SKNAS	SY5Y
ENSG00000157933.9	1944	1358	2271	1160
ENSG00000116151.12	490	277	331	333
ENSG00000272161.1	7	0	2	1
ENSG00000269896.2	102	31	105	91
ENSG00000272420.1	67	19	34	42
ENSG00000157916.17	1703	1860	1562	1378
ENSG00000157911.8	484	428	411	332
ENSG00000149527.16	28	6	19	36
ENSG00000224387.1	0	0	0	0
ENSG00000229393.1	0	0	0	0
ENSG00000157881.12	681	534	515	513
ENSG00000197921.5	4	0	0	0
ENSG00000272449.1	0	0	0	0
ENSG00000238164.5	2	0	0	4
ENSG00000157873.16	28	36	38	52
ENSG00000225931.3	0	0	0	0
ENSG00000228037.1	0	0	0	2
ENSG00000157870.13	114	108	195	134
ENSG00000142606.14	2	3	0	27
ENSG00000237058.1	0	0	0	0
ENSG00000215912.10	5	0	0	4
ENSG00000233234.1	0	0	0	0
ENSG00000231630.1	0	0	0	0
ENSG00000169717.6	0	0	0	0
ENSG00000177133.9	9	2	8	4
ENSG00000142611.15	67	14	96	70
ENSG00000226286.1	0	1	0	2
ENSG00000279839.1	2	6	8	0
ENSG00000272235.1	14	4	43	4
ENSG00000130762.13	101	41	435	319
ENSG00000272088.1	0	0	0	0
ENSG00000162591.14	57	34	54	259
ENSG00000207776.1	0	0	0	0
ENSG00000238260.1	11	13	10	16
ENSG00000158109.13	1069	1164	1086	865
ENSG00000116213.14	1157	885	711	763
ENSG00000078900.13	387	137	85	220
ENSG00000227589.1	8	11	6	3
ENSG00000235131.1	0	0	0	0
ENSG00000227372.9	1435	598	665	986
ENSG00000276189.1	0	0	0	0
ENSG00000162592.7	5	0	4	10
ENSG00000235169.6	9	19	17	10
ENSG00000130764.8	1878	1485	1269	1542
ENSG00000266075.2	4	4	10	6
ENSG00000272153.1	25	22	25	37
ENSG00000116198.11	1503	1357	1151	1174
ENSG00000169598.14	334	239	241	296
ENSG00000198912.9	1074	777	811	830
ENSG00000236423.4	41	42	39	25
ENSG00000233304.4	2	0	2	3
ENSG00000226374.1	0	0	0	1
ENSG00000229280.1	0	0	0	0
ENSG00000235054.1	0	0	0	0
ENSG00000227169.2	0	0	0	0
ENSG00000232596.1	0	0	0	0
ENSG00000196581.9	4	2	2	8
ENSG00000277731.1	0	0	0	0
ENSG00000231510.1	0	0	0	0
ENSG00000260972.1	0	0	0	2
ENSG00000264341.1	0	0	0	0
ENSG00000236948.1	0	0	0	0
ENSG00000216045.2	0	0	0	0
ENSG00000264101.1	0	0	0	0
ENSG00000131697.16	769	392	716	455
ENSG00000266687.1	2	0	0	1
ENSG00000069424.13	429	386	327	328
ENSG00000116254.16	598	61	219	120
ENSG00000116251.8	2948	1714	1716	2539
ENSG00000226944.1	175	22	21	158
ENSG00000158286.11	832	153	327	695
ENSG00000116237.14	2932	2756	2576	2374
ENSG00000225077.2	116	21	10	102
ENSG00000173673.7	0	0	0	0
ENSG00000158292.6	1796	959	1934	356
ENSG00000097021.18	1751	1790	1477	1417
ENSG00000271746.1	0	0	0	0
ENSG00000069812.10	23	18	16	16
ENSG00000187017.13	78	19	22	306
ENSG00000265392.1	0	0	0	0
ENSG00000231868.1	3	0	0	11
ENSG00000215788.8	157	323	368	105
ENSG00000171680.19	390	607	910	234
ENSG00000162408.10	2562	1507	1549	1710
ENSG00000253022.1	10	3	1	7
ENSG00000229519.2	82	16	9	84
ENSG00000173662.18	70	44	68	20
ENSG00000204859.10	1577	789	701	1131
ENSG00000162413.15	2119	1651	1704	1450
ENSG00000116273.5	1272	757	1016	911
ENSG00000041988.14	872	500	410	725
ENSG00000007923.14	1471	1050	1211	1139
ENSG00000228750.4	0	0	0	0
ENSG00000237436.1	64	9	12	35
ENSG00000171735.17	1517	671	606	1228
ENSG00000227950.1	12	3	6	2
ENSG00000237365.1	0	0	0	0
ENSG00000207056.1	0	2	0	3
ENSG00000280801.1	2	0	0	0
ENSG00000237402.1	5	7	2	7
ENSG00000237728.2	3	2	2	9
ENSG00000225126.1	0	0	0	4
ENSG00000270171.1	6	0	2	10
