IMR5	SHEP	SKNAS	SY5Y
ENSG00000264207.1	0	0	0	0
ENSG00000184260.5	125	91	95	95
ENSG00000280566.1	0	0	0	0
ENSG00000184270.4	190	99	191	76
ENSG00000178096.8	94	268	395	88
ENSG00000159164.8	2092	1691	2480	1638
ENSG00000143368.9	2146	1779	2018	1831
ENSG00000014914.18	238	469	750	142
ENSG00000264522.4	2755	1282	2204	2130
ENSG00000223945.2	11	4	13	14
ENSG00000136631.11	2186	1312	1762	1723
ENSG00000023902.12	3030	1467	1870	2566
ENSG00000266187.2	1	0	0	0
ENSG00000143401.13	3953	2046	2757	3633
ENSG00000222222.1	1	1	0	3
ENSG00000276110.1	2	2	2	6
ENSG00000118298.9	248	92	104	250
ENSG00000117362.11	2531	1861	2463	2197
ENSG00000118292.7	109	74	77	53
ENSG00000159208.14	864	104	128	630
ENSG00000266472.4	1895	1125	1380	1653
ENSG00000278939.1	3	0	2	7
ENSG00000117360.11	2690	1786	2125	2360
ENSG00000163125.14	2999	1335	2521	2795
ENSG00000143374.13	2663	1265	1786	2257
ENSG00000143369.13	989	1683	1718	377
ENSG00000228126.1	41	10	12	25
ENSG00000237781.3	37	11	26	10
ENSG00000143382.12	558	303	664	407
ENSG00000264553.1	0	1	3	3
ENSG00000203804.4	109	54	78	75
ENSG00000277452.1	29	12	20	21
ENSG00000274963.1	104	45	37	48
ENSG00000143384.11	3948	3476	4090	3595
ENSG00000253047.1	11	2	5	24
ENSG00000143420.16	3851	2168	2775	3248
ENSG00000276103.1	14	0	1	5
ENSG00000143457.9	1082	639	888	790
ENSG00000143452.14	7	5	0	1
ENSG00000206931.1	0	0	0	0
ENSG00000163131.9	235	1286	301	368
ENSG00000236713.1	0	0	2	0
ENSG00000143387.11	472	256	243	277
ENSG00000224690.2	4	5	2	0
ENSG00000143437.19	2280	909	1819	1766
ENSG00000200175.1	0	0	0	0
ENSG00000224800.1	2	0	2	2
ENSG00000229357.1	3	2	11	5
ENSG00000143379.11	1970	727	1560	1563
ENSG00000143418.18	1245	1146	1510	1058
ENSG00000259357.2	0	0	0	0
ENSG00000231073.1	18	0	8	21
ENSG00000143412.8	160	89	106	159
ENSG00000143409.14	749	475	560	650
ENSG00000143363.14	1283	436	1120	1103
ENSG00000200759.1	1	0	3	0
ENSG00000163141.17	81	25	30	65
ENSG00000143443.9	410	181	303	280
ENSG00000197622.11	1935	1667	2113	1694
ENSG00000213190.3	1843	1256	1414	1638
ENSG00000143458.10	1541	310	637	1125
ENSG00000233717.1	4	0	0	4
ENSG00000261168.1	71	17	36	89
ENSG00000143434.14	1131	703	986	1542
ENSG00000163154.5	43	16	30	48
ENSG00000163156.10	1789	877	1021	1564
ENSG00000163155.10	721	277	468	586
ENSG00000163157.13	0	0	0	0
ENSG00000163159.10	1939	1214	1404	1773
ENSG00000143398.18	2950	1555	2775	2280
ENSG00000159352.14	3009	2044	2156	2732
ENSG00000232671.4	73	10	26	49
ENSG00000143373.16	2087	1056	1840	1525
ENSG00000143393.15	3193	2698	2905	2627
ENSG00000265753.2	13	5	5	8
ENSG00000273481.1	4	2	0	5
ENSG00000143390.16	1799	928	1700	1298
ENSG00000224645.1	0	0	0	0
ENSG00000237976.1	145	18	14	104
ENSG00000143416.19	436	190	817	889
ENSG00000159377.9	2249	1720	1837	2017
ENSG00000143442.20	4232	1750	3254	3134
ENSG00000238711.1	2	4	3	6
ENSG00000143375.13	278	132	51	298
ENSG00000252840.1	0	0	0	1
ENSG00000143367.14	352	833	553	278
ENSG00000232536.1	9	7	7	2
ENSG00000207606.1	2	2	4	4
ENSG00000223861.1	16	21	15	3
ENSG00000250734.2	11	3	4	3
ENSG00000143376.11	2327	1386	2251	1818
ENSG00000206635.1	2	0	2	2
ENSG00000227045.1	11	2	2	10
ENSG00000159409.13	892	17	22	433
ENSG00000178796.11	204	0	6	88
ENSG00000206980.1	1	0	0	0
ENSG00000269621.1	7	0	1	4
ENSG00000236940.1	9	0	0	1
ENSG00000143436.9	992	682	813	864
ENSG00000143450.13	53	36	34	44
ENSG00000249602.1	10	9	0	11
ENSG00000232937.1	0	0	0	0
ENSG00000268288.1	0	1	0	1
ENSG00000182134.14	578	341	288	456
ENSG00000203288.3	24	5	8	12
ENSG00000269489.1	0	0	2	4
ENSG00000213171.2	19	12	8	40
ENSG00000143365.15	178	142	160	489
ENSG00000225556.1	3	0	7	8
ENSG00000201134.1	0	0	0	1
ENSG00000234614.1	2	2	2	2
ENSG00000196407.10	11	0	0	2
ENSG00000159445.11	157	343	791	155
ENSG00000223810.2	0	0	0	0
ENSG00000197747.7	519	1012	971	346
ENSG00000229021.2	2	5	2	2
ENSG00000240667.1	0	0	0	0
ENSG00000163191.5	592	820	843	488
ENSG00000232678.2	0	0	0	0
ENSG00000182898.3	0	0	0	0
ENSG00000159450.11	6	30	16	10
ENSG00000226716.1	0	0	0	0
ENSG00000233792.3	2	0	1	0
ENSG00000215853.3	27	42	63	6
ENSG00000237975.5	55	17	17	2
ENSG00000236427.1	7	2	0	0
ENSG00000197915.5	106	20	50	18
ENSG00000143631.10	417	144	126	49
ENSG00000143520.6	25	2	0	12
ENSG00000183586.8	0	0	0	0
ENSG00000143536.7	2	0	0	0
ENSG00000186207.4	0	0	1	0
ENSG00000244057.3	0	0	0	0
ENSG00000279850.1	0	0	0	0
ENSG00000169509.5	0	0	0	0
ENSG00000185966.3	0	2	0	0
ENSG00000163202.4	11	0	14	0
ENSG00000187238.5	0	0	0	0
ENSG00000185962.1	20	2	39	0
ENSG00000226947.1	0	0	0	0
ENSG00000176075.7	0	0	0	0
ENSG00000187223.3	0	0	0	0
ENSG00000187180.3	0	0	0	0
ENSG00000159455.8	0	0	0	0
ENSG00000187173.3	0	0	0	0
ENSG00000187170.4	0	0	0	0
ENSG00000198854.5	0	0	0	0
ENSG00000196734.7	0	0	0	0
ENSG00000229713.1	0	0	0	0
ENSG00000233819.1	0	0	0	2
ENSG00000203786.6	25	12	75	4
ENSG00000240386.3	0	0	0	0
ENSG00000186226.8	0	0	0	0
ENSG00000172155.9	0	0	0	0
ENSG00000197084.5	0	0	0	2
ENSG00000186844.5	0	0	0	0
ENSG00000235942.2	0	0	0	0
ENSG00000163206.5	0	0	0	0
ENSG00000163207.6	0	8	17	2
ENSG00000224308.1	0	0	0	0
ENSG00000184148.3	0	2	0	0
ENSG00000169474.4	0	0	0	0
ENSG00000163209.13	0	0	0	0
ENSG00000252920.1	0	0	0	0
ENSG00000234262.1	0	0	0	0
ENSG00000169469.8	0	0	0	0
ENSG00000163216.6	0	0	0	0
ENSG00000241794.1	0	0	0	0
ENSG00000196805.7	0	0	0	0
ENSG00000203785.7	0	0	0	0
ENSG00000244094.1	0	0	0	0
ENSG00000229035.2	0	0	0	0
ENSG00000159516.8	0	0	0	0
ENSG00000229699.1	0	0	0	0
ENSG00000203784.2	0	0	0	0
ENSG00000203783.4	0	4	99	0
ENSG00000230779.1	0	0	0	0
ENSG00000203782.5	0	0	0	0
ENSG00000159527.3	0	0	0	0
ENSG00000163218.13	0	0	0	0
ENSG00000207321.1	0	0	0	0
ENSG00000163220.10	327	86	270	413
ENSG00000163221.8	30	2	16	32
ENSG00000237008.2	0	0	5	3
ENSG00000143546.8	54	11	51	134
ENSG00000224784.2	0	0	0	0
ENSG00000184330.10	0	0	0	0
ENSG00000203781.4	0	0	0	0
ENSG00000197364.6	0	0	0	0
ENSG00000143556.7	0	2	0	0
ENSG00000263841.2	0	0	0	0
ENSG00000238279.1	22	77	81	4
ENSG00000197956.8	682	930	896	498
ENSG00000196420.6	13	34	74	2
ENSG00000196154.10	481	475	1213	409
ENSG00000188015.8	33	578	680	19
ENSG00000196754.9	196	436	489	71
ENSG00000188643.9	1161	2005	2158	1217
ENSG00000189334.7	226	69	106	846
ENSG00000189171.12	285	386	299	232
ENSG00000271853.4	0	0	0	0
ENSG00000160678.10	73	56	120	91
ENSG00000272030.1	2	1	5	4
ENSG00000160679.11	2840	1695	2200	2436
ENSG00000143553.9	1039	690	952	890
ENSG00000143621.15	3088	2251	2520	2834
ENSG00000169418.9	143	203	1299	109
ENSG00000274940.1	0	0	0	0
ENSG00000242565.3	0	0	0	0
ENSG00000235015.1	0	0	0	0
ENSG00000199565.1	0	0	0	0
ENSG00000143624.12	1368	1134	1764	1072
ENSG00000243613.1	0	0	0	0
ENSG00000233222.2	0	0	0	0
ENSG00000279767.1	0	0	0	0
ENSG00000143554.12	209	260	445	271
ENSG00000207039.1	0	0	0	0
ENSG00000231827.2	0	0	0	0
ENSG00000143614.7	498	246	442	412
ENSG00000223599.1	0	0	0	0
ENSG00000236327.2	17	7	8	16
ENSG00000198837.8	2771	1671	2954	2479
ENSG00000160741.15	1719	1123	1756	1385
ENSG00000143570.16	2505	2092	2420	2208
ENSG00000276584.1	0	1	0	0
ENSG00000273026.1	66	25	43	35
ENSG00000143578.14	1329	303	590	1543
ENSG00000143543.13	1638	1309	1322	1485
ENSG00000272654.1	124	41	73	100
ENSG00000143545.7	1641	1557	1633	1371
ENSG00000177954.10	891	549	686	778
ENSG00000143552.8	118	18	20	66
ENSG00000231416.1	12	6	7	10
ENSG00000200220.1	0	0	1	0
ENSG00000231837.2	0	0	0	0
ENSG00000263987.1	0	0	0	0
ENSG00000143549.18	4280	4083	4703	4948
ENSG00000264384.2	52	42	82	189
ENSG00000215938.2	0	0	0	0
ENSG00000163263.6	9	5	2	18
ENSG00000143612.17	3199	2411	2678	2957
ENSG00000143569.17	5624	3358	5344	4966
ENSG00000252817.2	34	6	23	16
ENSG00000201129.1	0	0	0	0
ENSG00000143575.13	2091	1495	1587	1839
ENSG00000252682.1	0	0	0	1
ENSG00000212292.1	0	0	0	0
ENSG00000222457.1	0	0	0	0
ENSG00000278694.1	0	0	0	0
ENSG00000143595.11	1	2	4	0
ENSG00000143515.15	2549	1622	3007	1856
ENSG00000237920.2	0	0	0	0
ENSG00000226855.1	0	1	4	0
ENSG00000228013.1	4	3	2	11
ENSG00000160712.11	158	351	259	297
ENSG00000228264.1	4	0	6	8
ENSG00000169291.8	18	20	20	67
ENSG00000273110.1	0	0	0	0
ENSG00000163239.11	2	4	11	12
ENSG00000160714.8	2358	1659	2205	1968
ENSG00000229780.1	8	1	7	4
ENSG00000160716.4	264	34	103	124
ENSG00000233875.1	0	0	0	0
ENSG00000160710.14	5333	3917	5710	5101
ENSG00000278405.1	0	0	2	4
ENSG00000143603.17	437	525	543	213
ENSG00000163344.5	1053	768	724	920
ENSG00000270361.1	10	0	2	1
ENSG00000163346.15	2346	1476	2174	1583
ENSG00000268154.2	52	8	12	30
ENSG00000163348.3	2127	1477	1981	1844
ENSG00000271380.1	11	4	14	8
ENSG00000160691.17	2835	2617	3809	1990
ENSG00000173207.11	1405	934	1057	1230
ENSG00000264349.1	9	5	7	4
ENSG00000160688.17	3378	1308	1796	2826
ENSG00000163352.5	17	6	18	10
ENSG00000160685.12	814	896	1392	890
ENSG00000163354.13	35	9	41	49
ENSG00000163357.9	95	19	40	63
ENSG00000232093.1	150	71	63	170
ENSG00000143537.12	2373	2178	2900	2149
ENSG00000243364.6	680	256	370	588
ENSG00000251246.1	0	0	0	0
ENSG00000143590.12	166	68	94	146
ENSG00000202027.1	0	0	0	0
ENSG00000169242.10	123	1224	160	452
ENSG00000169241.16	1217	881	1159	1157
ENSG00000179085.7	480	298	325	415
ENSG00000223452.3	0	0	0	0
ENSG00000163463.10	440	164	366	351
ENSG00000273088.1	0	0	0	0
ENSG00000163462.16	380	230	571	251
ENSG00000185499.15	216	106	213	353
ENSG00000279986.1	0	0	0	0
ENSG00000279487.1	2	1	0	0
ENSG00000271748.2	7	0	2	2
ENSG00000169231.12	1461	490	1530	1184
ENSG00000231064.4	109	30	98	61
ENSG00000173171.13	1066	575	806	860
ENSG00000236263.1	0	0	0	0
ENSG00000160766.13	450	150	296	392
ENSG00000236675.1	19	87	161	15
ENSG00000177628.14	1467	1448	1636	1203
ENSG00000216109.1	0	0	0	0
ENSG00000160767.19	917	604	903	704
ENSG00000116521.9	1482	1404	1502	1312
ENSG00000176444.17	1341	647	1229	1018
ENSG00000143630.8	179	28	104	115
ENSG00000143627.16	0	0	0	0
ENSG00000160752.13	1558	909	1263	1361
ENSG00000225855.5	468	182	407	383
ENSG00000160753.14	1982	1521	2037	1715
ENSG00000116539.9	3457	1557	3460	2785
ENSG00000207720.1	0	0	1	3
ENSG00000207134.1	2	0	0	1
ENSG00000227773.1	4	2	8	2
ENSG00000207144.1	3	3	1	2
ENSG00000237872.4	38	12	27	21
ENSG00000235919.4	200	62	92	142
ENSG00000271267.1	21	5	12	10
ENSG00000225082.2	15	4	5	3
ENSG00000223503.1	20	8	13	10
ENSG00000232519.2	9	4	8	9
ENSG00000125459.13	1795	899	992	1402
ENSG00000246203.2	88	40	56	72
ENSG00000163374.18	1824	946	1454	1510
ENSG00000132676.14	3683	2065	2444	3082
ENSG00000227673.1	6	1	8	2
ENSG00000203761.5	401	163	348	269
ENSG00000116580.17	3553	1565	2850	2690
ENSG00000234937.1	38	15	23	33
ENSG00000132718.8	2746	1678	2309	1948
ENSG00000143622.9	1424	1060	1391	1022
ENSG00000132680.9	2661	1282	2199	2181
ENSG00000207475.1	18	1	3	7
ENSG00000281394.1	1	0	0	0
ENSG00000280466.1	0	0	0	0
ENSG00000173080.5	27	17	18	16
ENSG00000116584.16	3937	2971	4222	2131
ENSG00000277817.1	5	0	2	1
ENSG00000273002.1	104	54	146	56
ENSG00000224276.1	0	2	2	0
ENSG00000163479.12	2332	1979	2185	2053
ENSG00000160803.7	2672	1676	2805	2253
ENSG00000116586.10	1099	669	845	925
ENSG00000132698.12	115	12	93	415
ENSG00000254726.2	5141	791	2333	4323
ENSG00000222611.1	0	0	0	0
ENSG00000160789.18	3969	4785	5596	2790
ENSG00000196189.11	353	28	80	327
ENSG00000252236.1	0	0	0	0
ENSG00000160785.12	1816	1194	2607	1649
ENSG00000260238.4	0	0	1	0
ENSG00000160783.18	782	402	466	701
ENSG00000242252.1	51	7	17	28
ENSG00000160781.14	983	178	724	748
ENSG00000198952.8	4556	3219	3847	4346
ENSG00000163472.17	612	259	378	501
ENSG00000198715.10	399	989	1062	280
ENSG00000189030.9	6	2	3	4
ENSG00000163468.13	3808	3149	3361	3523
ENSG00000163467.10	142	22	34	150
ENSG00000132677.11	851	2	2	763
ENSG00000237390.1	42	10	4	33
ENSG00000125462.15	3187	1686	262	2367
ENSG00000207933.2	4	3	0	0
ENSG00000236947.4	88	7	9	73
ENSG00000116604.16	2342	1530	2797	1784
ENSG00000206651.1	3	1	7	4
ENSG00000260460.1	4	3	4	2
ENSG00000183856.9	2516	1882	3288	1747
ENSG00000187862.10	69	16	80	20
ENSG00000265960.1	0	0	0	0
ENSG00000163382.10	1665	1320	1519	1564
ENSG00000160818.15	2646	1824	1943	2455
ENSG00000280316.1	7	8	3	27
ENSG00000272971.1	0	0	4	2
ENSG00000132702.11	41	7	5	22
ENSG00000272068.1	18	644	654	21
ENSG00000132692.17	2087	630	300	1531
ENSG00000272405.1	117	1208	1057	60
ENSG00000229953.1	33	77	70	6
ENSG00000132688.10	7363	4942	7469	5347
ENSG00000237588.2	36	2	14	8
ENSG00000143320.7	1672	143	1768	1368
ENSG00000223356.1	89	12	20	55
ENSG00000143319.15	3082	1871	2687	2553
ENSG00000143303.10	1062	660	1046	769
ENSG00000143314.11	1469	1087	1284	1291
ENSG00000143321.17	3983	3171	3645	3663
ENSG00000143294.13	2670	1817	2269	2362
ENSG00000027869.10	71	176	67	74
ENSG00000198400.10	1405	24	238	1067
ENSG00000027644.4	785	3	104	523
ENSG00000187800.12	48	83	204	81
ENSG00000160838.12	73	26	28	59
ENSG00000132694.17	2462	1720	2797	1811
ENSG00000211581.1	0	1	4	3
ENSG00000266160.2	6	3	3	9
ENSG00000237842.2	9	2	17	4
ENSG00000224520.2	13	0	25	15
ENSG00000253831.1	2	8	8	0
ENSG00000117036.10	1203	719	1468	892
ENSG00000235700.1	11	0	11	3
ENSG00000229961.1	2	0	2	0
ENSG00000228239.1	0	0	0	0
ENSG00000271736.1	2	0	12	2
ENSG00000237189.1	0	0	0	0
ENSG00000143297.17	14	2	2	6
ENSG00000163518.9	0	0	0	0
ENSG00000236731.1	0	0	0	0
ENSG00000233712.1	0	0	0	0
ENSG00000160856.19	2	3	6	6
ENSG00000227217.1	0	0	0	0
ENSG00000231700.3	0	0	6	0
ENSG00000232366.1	0	0	0	0
ENSG00000132704.14	2	0	2	6
ENSG00000163534.13	10	0	8	15
ENSG00000073754.5	0	6	4	0
ENSG00000227425.1	0	0	0	0
ENSG00000236957.6	0	0	0	0
ENSG00000183853.16	3274	3242	4979	1831
ENSG00000226520.1	54	7	25	19
ENSG00000231666.4	0	18	0	0
ENSG00000227295.2	10	0	6	6
ENSG00000158473.6	10	6	14	14
ENSG00000229914.1	2	0	0	0
ENSG00000176320.2	0	7	0	3
ENSG00000158477.6	0	0	0	0
ENSG00000230942.1	0	0	0	0
ENSG00000158481.11	6	0	2	11
ENSG00000158485.9	0	0	0	0
ENSG00000158488.14	4	0	0	2
ENSG00000186306.1	0	0	0	0
ENSG00000180708.4	0	0	0	0
ENSG00000203758.4	0	0	0	0
ENSG00000236257.1	0	0	2	0
ENSG00000173285.3	0	0	0	0
ENSG00000236656.1	0	0	0	0
ENSG00000198965.3	0	0	0	0
ENSG00000198703.2	0	0	0	0
ENSG00000227445.1	0	0	0	0
ENSG00000231434.1	20	4	8	18
ENSG00000197532.1	0	0	0	0
ENSG00000186440.1	0	0	0	2
ENSG00000186400.3	0	0	0	0
ENSG00000279111.1	0	0	0	0
ENSG00000198967.3	0	0	0	0
ENSG00000163554.10	2	7	0	0
ENSG00000231237.1	0	0	0	0
ENSG00000196171.3	0	0	0	0
ENSG00000203757.1	0	0	2	0
ENSG00000180437.5	0	0	0	0
ENSG00000226949.1	0	0	0	0
ENSG00000180433.4	0	0	0	0
ENSG00000197403.3	0	0	0	0
ENSG00000188340.1	0	0	0	0
ENSG00000229724.1	0	0	0	0
ENSG00000180409.3	0	0	0	0
ENSG00000163563.7	192	48	129	320
ENSG00000229849.1	0	0	0	0
ENSG00000163564.13	4	4	4	12
ENSG00000163565.17	579	1364	1956	274
ENSG00000265589.2	0	0	0	0
ENSG00000163568.12	9	178	323	11
ENSG00000233473.2	0	0	0	0
ENSG00000162706.11	23	0	17	13
ENSG00000222552.1	1	0	0	0
ENSG00000225670.4	3	0	1	5
ENSG00000213088.8	4	4	0	27
ENSG00000215846.6	0	0	0	0
ENSG00000248642.1	0	0	0	0
ENSG00000179639.9	6	4	2	10
ENSG00000196266.4	2	0	0	0
ENSG00000228560.1	0	0	2	0
ENSG00000248442.2	0	0	0	0
ENSG00000251686.1	0	0	0	0
ENSG00000249197.1	2	0	0	2
ENSG00000249730.1	0	0	2	4
ENSG00000196184.8	2	2	0	13
ENSG00000224943.1	0	0	0	2
ENSG00000184155.8	0	0	2	0
ENSG00000231100.1	0	0	0	0
ENSG00000271890.1	0	0	0	0
ENSG00000132703.3	0	0	0	0
ENSG00000158731.2	0	0	0	0
ENSG00000276632.1	0	0	0	0
ENSG00000223603.1	0	0	2	0
ENSG00000132693.11	0	0	0	0
ENSG00000235226.1	0	0	0	0
ENSG00000158716.7	92	250	86	31
ENSG00000181036.12	4	3	4	1
ENSG00000158714.9	10	5	7	10
ENSG00000188004.8	18	17	16	17
ENSG00000212161.1	0	0	0	0
ENSG00000243284.1	13	2	15	9
ENSG00000256029.4	0	0	0	0
ENSG00000272668.1	9	15	22	2
ENSG00000213085.8	36	124	71	30
ENSG00000266458.1	0	0	0	0
ENSG00000279430.1	2	11	4	1
ENSG00000158710.13	1605	2300	2288	1341
ENSG00000085552.15	904	4	60	979
ENSG00000162723.8	6	2	4	16
ENSG00000224259.4	4	0	2	16
ENSG00000273933.1	0	2	1	1
ENSG00000237409.2	4	0	2	1
ENSG00000260766.1	138	127	201	123
ENSG00000143315.6	1236	756	1080	905
ENSG00000177807.6	217	180	39	169
ENSG00000225279.1	16	3	1	15
ENSG00000162728.4	14	11	3	18
ENSG00000162729.12	633	808	1313	639
ENSG00000018625.13	2333	2974	2392	4233
ENSG00000132681.15	6	9	14	40
ENSG00000143318.11	1043	908	908	2019
ENSG00000227741.1	68	22	68	57
ENSG00000162734.11	2378	2692	3263	1956
ENSG00000265381.1	0	0	0	0
ENSG00000132716.17	2102	1284	1849	1654
ENSG00000258465.5	1	1	0	0
ENSG00000228606.1	21	15	12	14
ENSG00000224261.2	22	2	9	17
ENSG00000162735.17	2085	1265	1703	1719
ENSG00000122218.13	4732	3762	5226	4337
ENSG00000235082.2	29	4	61	25
ENSG00000202078.1	9	4	3	5
ENSG00000162736.14	2492	1964	2961	1980
ENSG00000171786.5	240	28	8	199
ENSG00000201608.1	1	0	0	0
ENSG00000162738.5	1381	196	486	1029
ENSG00000162739.12	9	8	2	23
ENSG00000234425.1	0	0	0	0
ENSG00000066294.13	6	6	22	37
ENSG00000117090.13	10	0	0	16
ENSG00000235101.1	0	0	0	0
ENSG00000228863.7	1	0	0	0
ENSG00000117091.8	30	12	11	37
ENSG00000026751.15	6	24	4	11
ENSG00000275801.1	0	0	0	0
ENSG00000274562.1	0	0	0	0
ENSG00000122224.16	16	2	14	24
ENSG00000122223.11	9	0	6	28
ENSG00000226003.2	0	0	0	0
ENSG00000179914.4	0	0	2	0
ENSG00000213080.3	33	24	37	29
ENSG00000232188.1	0	0	0	0
ENSG00000198358.4	2	0	0	0
ENSG00000233691.2	0	0	0	0
ENSG00000158764.6	0	1	2	2
ENSG00000158769.16	135	433	338	534
ENSG00000270149.4	10	3	12	5
ENSG00000232879.2	3	7	13	6
ENSG00000215845.9	137	274	274	250
ENSG00000158773.13	2220	1452	1534	1931
ENSG00000186517.12	231	64	218	283
ENSG00000278883.1	0	0	0	2
ENSG00000143217.8	85	94	47	354
ENSG00000228917.1	8	0	8	3
ENSG00000162755.12	18	8	64	72
ENSG00000143256.4	948	790	809	919
ENSG00000158793.12	1367	982	1064	1160
ENSG00000158796.15	1287	851	1192	1043
ENSG00000238934.1	5	1	2	9
ENSG00000143222.10	1195	957	1001	1084
ENSG00000224985.1	6	3	4	1
ENSG00000143258.14	1792	848	1542	1496
ENSG00000143224.16	1532	548	720	1160
ENSG00000158850.13	1891	1356	1662	1651
ENSG00000158859.9	513	180	973	102
ENSG00000158864.11	2512	1855	2187	2306
ENSG00000158869.9	105	39	63	118
ENSG00000158874.10	8	1	0	0
ENSG00000158882.11	980	516	808	714
ENSG00000263548.1	0	1	2	1
ENSG00000143257.10	57	24	49	73
ENSG00000248485.1	8	6	34	10
ENSG00000158887.14	326	458	255	75
ENSG00000143252.13	2825	1540	2445	2711
ENSG00000188931.3	0	0	0	0
ENSG00000236484.2	11	4	6	13
ENSG00000206921.1	31	1	3	22
ENSG00000215840.3	23	9	16	9
ENSG00000277882.1	7	1	0	4
ENSG00000143226.12	115	95	106	192
ENSG00000273112.1	0	0	0	0
ENSG00000173110.7	200	56	77	114
ENSG00000224203.2	2	0	0	0
ENSG00000203747.8	68	10	60	114
ENSG00000224515.1	0	0	0	0
ENSG00000072694.17	2	6	9	31
ENSG00000244682.6	3	13	20	9
ENSG00000225217.1	22	13	34	17
ENSG00000231586.2	0	0	0	0
ENSG00000162747.8	264	53	180	321
ENSG00000234211.2	0	0	0	0
ENSG00000213075.7	2	0	7	2
ENSG00000199595.1	0	0	0	0
ENSG00000132185.15	6	37	16	14
ENSG00000162746.13	29	160	46	32
ENSG00000241347.3	0	0	0	0
ENSG00000081721.10	1308	712	874	1154
ENSG00000226889.3	7	0	0	2
ENSG00000118217.5	2644	1975	2557	2202
ENSG00000229808.1	80	26	53	26
ENSG00000162745.9	1760	663	1813	284
ENSG00000227818.1	0	0	0	0
ENSG00000198929.11	183	186	111	175
ENSG00000266144.1	2	0	0	0
ENSG00000227094.1	0	1	4	0
ENSG00000252262.1	1	0	0	0
ENSG00000207729.2	0	1	2	0
ENSG00000254706.2	0	0	0	0
ENSG00000239887.4	397	204	106	342
ENSG00000171722.10	11	25	21	12
ENSG00000198574.5	21	30	22	27
ENSG00000227243.3	2	10	10	18
ENSG00000152332.14	2203	1928	3581	1990
ENSG00000227941.1	0	0	0	0
ENSG00000259788.1	4	0	2	0
ENSG00000117143.12	1898	1497	1943	1555
ENSG00000272574.1	92	16	28	54
ENSG00000162733.15	2053	2216	4382	782
ENSG00000243173.3	4	0	0	0
ENSG00000132196.12	572	427	634	539
ENSG00000185860.12	6	5	6	9
ENSG00000230739.1	0	0	0	0
ENSG00000227667.1	0	0	4	0
ENSG00000117152.12	662	169	3556	166
ENSG00000143248.11	261	233	9194	851
ENSG00000232892.1	3	1	143	0
ENSG00000225755.2	2	2	4	2
ENSG00000232995.6	168	54	73	139
ENSG00000237756.1	7	3	0	2
ENSG00000143228.11	1507	1129	1442	1303
ENSG00000225122.1	0	0	0	0
ENSG00000200327.1	0	0	0	0
ENSG00000212527.1	0	0	0	0
ENSG00000228289.1	0	0	0	0
ENSG00000212538.2	0	0	0	0
ENSG00000225719.2	0	0	0	0
ENSG00000199849.1	0	0	0	0
ENSG00000213070.3	4	0	5	4
ENSG00000185630.17	2877	731	3226	3602
ENSG00000274155.2	4	3	5	12
ENSG00000207082.1	8	6	3	7
ENSG00000277116.1	1	2	0	2
ENSG00000269887.1	45	5	47	31
ENSG00000276359.1	7	2	2	13
ENSG00000233693.1	16	6	4	20
ENSG00000271917.1	52	5	9	30
ENSG00000201987.1	0	0	0	0
ENSG00000225487.2	0	0	0	0
ENSG00000201270.1	0	0	0	0
ENSG00000212086.1	0	0	0	0
ENSG00000162761.13	10	0	2	4
ENSG00000224702.1	0	0	0	0
ENSG00000238022.1	0	0	0	0
ENSG00000143171.11	52	37	52	155
ENSG00000237463.4	0	0	0	0
ENSG00000230748.1	0	0	0	2
ENSG00000162763.3	4	2	0	6
ENSG00000237783.2	0	0	0	0
ENSG00000236206.1	2	0	2	2
ENSG00000143198.11	1089	857	1061	1019
ENSG00000143149.11	1628	1313	1523	1487
ENSG00000206990.1	0	0	0	0
ENSG00000230175.1	8	4	11	8
ENSG00000225272.2	6	0	3	2
ENSG00000215838.4	12	1	1	14
ENSG00000273365.1	2	3	3	2
ENSG00000143183.15	2228	1656	1986	1851
ENSG00000224358.1	43	25	56	24
ENSG00000230659.3	3	0	0	0
ENSG00000143179.11	3380	2118	2767	2719
ENSG00000236364.3	62	10	83	36
ENSG00000271527.1	2	0	2	0
ENSG00000226292.1	4	0	0	0
ENSG00000207341.1	0	0	0	1
ENSG00000188859.6	1592	17	105	1250
ENSG00000203307.2	21	4	4	7
ENSG00000230898.1	12	0	6	12
ENSG00000215952.1	3	0	1	4
ENSG00000215835.2	33	17	69	26
ENSG00000229588.1	132	0	0	95
ENSG00000225325.1	6	0	0	3
ENSG00000230231.1	0	3	2	1
ENSG00000234142.1	0	3	0	0
ENSG00000238087.3	1	0	0	0
ENSG00000215834.7	0	0	0	2
ENSG00000234984.1	0	0	0	0
ENSG00000232341.2	2	2	8	2
ENSG00000232148.1	0	0	0	0
ENSG00000232223.1	0	0	0	0
ENSG00000143157.10	2056	1533	2495	1912
ENSG00000152382.5	807	363	643	685
ENSG00000225171.2	36	13	21	28
ENSG00000143195.11	521	346	108	505
ENSG00000143194.11	2	5	0	10
ENSG00000200036.1	0	0	0	0
ENSG00000227907.1	0	0	0	0
ENSG00000143167.10	6	8	10	17
ENSG00000198842.8	547	418	644	558
ENSG00000213068.3	0	0	0	0
ENSG00000231605.4	6	4	1	0
ENSG00000272205.1	18	2	10	15
ENSG00000143190.20	3117	1183	1501	2469
ENSG00000272033.1	15	6	16	14
ENSG00000198821.9	51	12	39	104
