Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR10215667_1_val_1	(20, 7212.0)	(22, 11061.0)	(24, 22921.0)	(26, 97625.0)	(28, 75731.0)	(30, 78347.0)	(32, 129019.0)	(34, 298785.0)	(36, 528650.0)	(38, 625514.0)	(40, 989123.0)	(42, 1046608.0)	(44, 925167.0)	(46, 730866.0)	(48, 639443.0)	(50, 857932.0)	(52, 917279.0)	(54, 739749.0)	(56, 607143.0)	(58, 518799.0)	(60, 573750.0)	(62, 633595.0)	(64, 596831.0)	(66, 539523.0)	(68, 456030.0)	(70, 478432.0)	(72, 528472.0)	(74, 498788.0)	(76, 416726.0)	(78, 379023.0)	(80, 389664.0)	(82, 419782.0)	(84, 409742.0)	(86, 383399.0)	(88, 360178.0)	(90, 384236.0)	(92, 444798.0)	(94, 547920.0)	(96, 1109524.0)	(98, 7103960.0)	(100, 15440698.0)
SRR10215667_2_val_2	(20, 43229.0)	(22, 44206.0)	(24, 52337.0)	(26, 127111.0)	(28, 107313.0)	(30, 114287.0)	(32, 165420.0)	(34, 335921.0)	(36, 564972.0)	(38, 663008.0)	(40, 1025186.0)	(42, 1080428.0)	(44, 960522.0)	(46, 766298.0)	(48, 676163.0)	(50, 870506.0)	(52, 924962.0)	(54, 755616.0)	(56, 625771.0)	(58, 538110.0)	(60, 592371.0)	(62, 652518.0)	(64, 616564.0)	(66, 559429.0)	(68, 474146.0)	(70, 495482.0)	(72, 547524.0)	(74, 517196.0)	(76, 457360.0)	(78, 407661.0)	(80, 415811.0)	(82, 443338.0)	(84, 430866.0)	(86, 399483.0)	(88, 369583.0)	(90, 387325.0)	(92, 431410.0)	(94, 507203.0)	(96, 1058183.0)	(98, 6876422.0)	(100, 14860804.0)
SRR10215668_1_val_1	(20, 10603.0)	(22, 15895.0)	(24, 34763.0)	(26, 152993.0)	(28, 99012.0)	(30, 99783.0)	(32, 181052.0)	(34, 489196.0)	(36, 913120.0)	(38, 1034485.0)	(40, 1592558.0)	(42, 1707677.0)	(44, 1617164.0)	(46, 1336249.0)	(48, 1166821.0)	(50, 1533547.0)	(52, 1574290.0)	(54, 1359094.0)	(56, 1152342.0)	(58, 999914.0)	(60, 1079811.0)	(62, 1170193.0)	(64, 1172245.0)	(66, 1132886.0)	(68, 948097.0)	(70, 979926.0)	(72, 1079855.0)	(74, 1017990.0)	(76, 884289.0)	(78, 819120.0)	(80, 852416.0)	(82, 872433.0)	(84, 827297.0)	(86, 772210.0)	(88, 719676.0)	(90, 754861.0)	(92, 819183.0)	(94, 924943.0)	(96, 1525869.0)	(98, 8927451.0)	(100, 18799728.0)
SRR10215668_2_val_2	(20, 66938.0)	(22, 68186.0)	(24, 80876.0)	(26, 197030.0)	(28, 148829.0)	(30, 157346.0)	(32, 237881.0)	(34, 547944.0)	(36, 967498.0)	(38, 1089869.0)	(40, 1644356.0)	(42, 1755351.0)	(44, 1663664.0)	(46, 1384787.0)	(48, 1217857.0)	(50, 1545260.0)	(52, 1577098.0)	(54, 1374981.0)	(56, 1172543.0)	(58, 1021888.0)	(60, 1099917.0)	(62, 1190255.0)	(64, 1192860.0)	(66, 1153120.0)	(68, 966031.0)	(70, 998648.0)	(72, 1097114.0)	(74, 1034393.0)	(76, 931987.0)	(78, 850753.0)	(80, 879107.0)	(82, 897199.0)	(84, 848342.0)	(86, 785684.0)	(88, 726875.0)	(90, 755447.0)	(92, 798584.0)	(94, 876055.0)	(96, 1467203.0)	(98, 8684919.0)	(100, 17996362.0)
SRR10215669_1_val_1	(20, 4087.0)	(22, 6836.0)	(24, 13649.0)	(26, 68313.0)	(28, 55177.0)	(30, 58335.0)	(32, 80252.0)	(34, 180712.0)	(36, 357583.0)	(38, 465744.0)	(40, 775870.0)	(42, 842191.0)	(44, 791895.0)	(46, 634020.0)	(48, 543738.0)	(50, 731437.0)	(52, 771332.0)	(54, 659735.0)	(56, 547221.0)	(58, 468965.0)	(60, 509626.0)	(62, 573538.0)	(64, 564300.0)	(66, 521708.0)	(68, 430224.0)	(70, 448144.0)	(72, 507965.0)	(74, 479610.0)	(76, 407401.0)	(78, 368365.0)	(80, 385737.0)	(82, 410781.0)	(84, 399218.0)	(86, 364845.0)	(88, 328264.0)	(90, 338808.0)	(92, 365684.0)	(94, 408969.0)	(96, 781823.0)	(98, 5243202.0)	(100, 11310052.0)
SRR10215669_2_val_2	(20, 23585.0)	(22, 23885.0)	(24, 28278.0)	(26, 82560.0)	(28, 69772.0)	(30, 74427.0)	(32, 96781.0)	(34, 197384.0)	(36, 374344.0)	(38, 483546.0)	(40, 793713.0)	(42, 860661.0)	(44, 809943.0)	(46, 650115.0)	(48, 561341.0)	(50, 735871.0)	(52, 773181.0)	(54, 665800.0)	(56, 554985.0)	(58, 476292.0)	(60, 517214.0)	(62, 580029.0)	(64, 569510.0)	(66, 523483.0)	(68, 428757.0)	(70, 447499.0)	(72, 508027.0)	(74, 481968.0)	(76, 425100.0)	(78, 381187.0)	(80, 397900.0)	(82, 430346.0)	(84, 445805.0)	(86, 378275.0)	(88, 334709.0)	(90, 345192.0)	(92, 372043.0)	(94, 412054.0)	(96, 773951.0)	(98, 5125152.0)	(100, 10990691.0)
SRR10215670_1_val_1	(20, 11039.0)	(22, 15799.0)	(24, 34227.0)	(26, 261101.0)	(28, 163481.0)	(30, 158968.0)	(32, 263654.0)	(34, 711896.0)	(36, 1373352.0)	(38, 1599494.0)	(40, 2256305.0)	(42, 2357495.0)	(44, 2218753.0)	(46, 1880651.0)	(48, 1644745.0)	(50, 1954807.0)	(52, 1981732.0)	(54, 1718573.0)	(56, 1472684.0)	(58, 1290089.0)	(60, 1329056.0)	(62, 1399812.0)	(64, 1351297.0)	(66, 1287540.0)	(68, 1087803.0)	(70, 1065043.0)	(72, 1162501.0)	(74, 1084124.0)	(76, 948369.0)	(78, 888126.0)	(80, 889355.0)	(82, 912744.0)	(84, 865361.0)	(86, 798732.0)	(88, 727824.0)	(90, 733281.0)	(92, 754243.0)	(94, 801275.0)	(96, 1265784.0)	(98, 7878395.0)	(100, 16579009.0)
SRR10215670_2_val_2	(20, 43249.0)	(22, 43077.0)	(24, 55201.0)	(26, 279893.0)	(28, 184331.0)	(30, 180482.0)	(32, 286323.0)	(34, 734043.0)	(36, 1394322.0)	(38, 1623088.0)	(40, 2281712.0)	(42, 2382024.0)	(44, 2241351.0)	(46, 1900572.0)	(48, 1666007.0)	(50, 1957686.0)	(52, 1979200.0)	(54, 1721764.0)	(56, 1478702.0)	(58, 1295966.0)	(60, 1335119.0)	(62, 1405811.0)	(64, 1354376.0)	(66, 1284042.0)	(68, 1080678.0)	(70, 1060471.0)	(72, 1158870.0)	(74, 1084222.0)	(76, 972574.0)	(78, 903677.0)	(80, 903265.0)	(82, 937356.0)	(84, 932319.0)	(86, 813560.0)	(88, 732453.0)	(90, 737317.0)	(92, 756614.0)	(94, 796663.0)	(96, 1245558.0)	(98, 7723019.0)	(100, 16231562.0)
SRR10215671_1_val_1	(20, 17460.0)	(22, 22514.0)	(24, 31664.0)	(26, 128104.0)	(28, 106357.0)	(30, 112834.0)	(32, 122394.0)	(34, 237686.0)	(36, 486534.0)	(38, 690000.0)	(40, 1233849.0)	(42, 1271842.0)	(44, 1007632.0)	(46, 837495.0)	(48, 736834.0)	(50, 1050625.0)	(52, 1198265.0)	(54, 899715.0)	(56, 739149.0)	(58, 651108.0)	(60, 743658.0)	(62, 841189.0)	(64, 790077.0)	(66, 735183.0)	(68, 589306.0)	(70, 605259.0)	(72, 709662.0)	(74, 662510.0)	(76, 548996.0)	(78, 510621.0)	(80, 520359.0)	(82, 583919.0)	(84, 592657.0)	(86, 554293.0)	(88, 515351.0)	(90, 537789.0)	(92, 595019.0)	(94, 669393.0)	(96, 1249194.0)	(98, 7947333.0)	(100, 15746322.0)
SRR10215671_2_val_2	(20, 29776.0)	(22, 30248.0)	(24, 35462.0)	(26, 122807.0)	(28, 105977.0)	(30, 111910.0)	(32, 116143.0)	(34, 228942.0)	(36, 482981.0)	(38, 681952.0)	(40, 1228812.0)	(42, 1255730.0)	(44, 985477.0)	(46, 828284.0)	(48, 726284.0)	(50, 1030627.0)	(52, 1176693.0)	(54, 882936.0)	(56, 721571.0)	(58, 633065.0)	(60, 724637.0)	(62, 818444.0)	(64, 770357.0)	(66, 706793.0)	(68, 570209.0)	(70, 589323.0)	(72, 689973.0)	(74, 641271.0)	(76, 576626.0)	(78, 521539.0)	(80, 528055.0)	(82, 589304.0)	(84, 595498.0)	(86, 551962.0)	(88, 497992.0)	(90, 506678.0)	(92, 552282.0)	(94, 624355.0)	(96, 1159912.0)	(98, 7857643.0)	(100, 16341621.0)
