Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR10215677_1_val_1	(20, 1438.0)	(21, 2980.0)	(22, 2354.0)	(23, 11141.0)	(24, 27145.0)	(25, 108762.0)	(26, 159849.0)	(27, 92392.0)	(28, 73389.0)	(29, 76400.0)	(30, 72326.0)	(31, 84783.0)	(32, 109364.0)	(33, 202666.0)	(34, 383045.0)	(35, 712891.0)	(36, 989473.0)	(37, 1205311.0)	(38, 1938102.0)	(39, 3462246.0)	(40, 6216036.0)	(41, 6892679.0)	(42, 22378950.0)																		
SRR10215677_2_val_2	(20, 4296.0)	(21, 6165.0)	(22, 5319.0)	(23, 14098.0)	(24, 29732.0)	(25, 105610.0)	(26, 163092.0)	(27, 92898.0)	(28, 75903.0)	(29, 79039.0)	(30, 77151.0)	(31, 91014.0)	(32, 117166.0)	(33, 212633.0)	(34, 398561.0)	(35, 717875.0)	(36, 1012614.0)	(37, 1252511.0)	(38, 2015219.0)	(39, 3616062.0)	(40, 6334295.0)	(41, 7013284.0)	(42, 21769185.0)																		
SRR10215678_1_val_1	(20, 5348.0)	(22, 7134.0)	(24, 17287.0)	(26, 130344.0)	(28, 101120.0)	(30, 104728.0)	(32, 140022.0)	(34, 344327.0)	(36, 705677.0)	(38, 949899.0)	(40, 1558545.0)	(42, 1611359.0)	(44, 1413054.0)	(46, 1134123.0)	(48, 990827.0)	(50, 1330740.0)	(52, 1380867.0)	(54, 1102795.0)	(56, 906074.0)	(58, 780639.0)	(60, 847409.0)	(62, 937406.0)	(64, 882281.0)	(66, 807071.0)	(68, 669028.0)	(70, 675810.0)	(72, 762165.0)	(74, 711888.0)	(76, 616447.0)	(78, 562664.0)	(80, 568673.0)	(82, 598180.0)	(84, 569680.0)	(86, 516548.0)	(88, 467971.0)	(90, 472786.0)	(92, 498752.0)	(94, 551468.0)	(96, 1065469.0)	(98, 7385159.0)	(100, 15827475.0)
SRR10215678_2_val_2	(20, 14092.0)	(22, 14628.0)	(24, 22084.0)	(26, 133522.0)	(28, 105977.0)	(30, 108824.0)	(32, 143278.0)	(34, 347217.0)	(36, 707877.0)	(38, 952893.0)	(40, 1561520.0)	(42, 1614213.0)	(44, 1416117.0)	(46, 1137520.0)	(48, 996111.0)	(50, 1329991.0)	(52, 1376553.0)	(54, 1101284.0)	(56, 908198.0)	(58, 781256.0)	(60, 848186.0)	(62, 939024.0)	(64, 882930.0)	(66, 806397.0)	(68, 665151.0)	(70, 673047.0)	(72, 759192.0)	(74, 710010.0)	(76, 626269.0)	(78, 566677.0)	(80, 571976.0)	(82, 602770.0)	(84, 574093.0)	(86, 520012.0)	(88, 470222.0)	(90, 472383.0)	(92, 495082.0)	(94, 544982.0)	(96, 1025578.0)	(98, 7227809.0)	(100, 15954294.0)
SRR10215679_1_val_1	(20, 2620.0)	(22, 3763.0)	(24, 10623.0)	(26, 98077.0)	(28, 74236.0)	(30, 72938.0)	(32, 97481.0)	(34, 246785.0)	(36, 499790.0)	(38, 665832.0)	(40, 1056774.0)	(42, 1071049.0)	(44, 933274.0)	(46, 742119.0)	(48, 637043.0)	(50, 832650.0)	(52, 851855.0)	(54, 676626.0)	(56, 550020.0)	(58, 472385.0)	(60, 507129.0)	(62, 550918.0)	(64, 514655.0)	(66, 465342.0)	(68, 384906.0)	(70, 386890.0)	(72, 432289.0)	(74, 400370.0)	(76, 346155.0)	(78, 314649.0)	(80, 315027.0)	(82, 328671.0)	(84, 313151.0)	(86, 282454.0)	(88, 251922.0)	(90, 252041.0)	(92, 265144.0)	(94, 288518.0)	(96, 558448.0)	(98, 3898195.0)	(100, 8444897.0)
SRR10215679_2_val_2	(20, 10310.0)	(22, 10905.0)	(24, 16688.0)	(26, 103107.0)	(28, 80671.0)	(30, 79195.0)	(32, 103380.0)	(34, 252433.0)	(36, 504440.0)	(38, 670437.0)	(40, 1060353.0)	(42, 1074523.0)	(44, 937204.0)	(46, 747094.0)	(48, 642973.0)	(50, 833490.0)	(52, 850175.0)	(54, 677397.0)	(56, 553332.0)	(58, 475086.0)	(60, 510060.0)	(62, 553834.0)	(64, 517027.0)	(66, 467670.0)	(68, 385386.0)	(70, 387589.0)	(72, 432729.0)	(74, 401664.0)	(76, 353095.0)	(78, 318876.0)	(80, 319545.0)	(82, 333902.0)	(84, 318327.0)	(86, 287822.0)	(88, 258330.0)	(90, 258250.0)	(92, 271118.0)	(94, 297062.0)	(96, 551205.0)	(98, 3792502.0)	(100, 8398525.0)
SRR10215680_1_val_1	(20, 934.0)	(21, 2105.0)	(22, 1176.0)	(23, 5738.0)	(24, 11058.0)	(25, 40414.0)	(26, 63254.0)	(27, 31320.0)	(28, 25353.0)	(29, 26431.0)	(30, 27297.0)	(31, 36039.0)	(32, 50238.0)	(33, 93689.0)	(34, 167743.0)	(35, 296082.0)	(36, 424171.0)	(37, 578871.0)	(38, 1143060.0)	(39, 2339724.0)	(40, 4457465.0)	(41, 5229556.0)	(42, 19030849.0)																		
SRR10215680_2_val_2	(20, 3096.0)	(21, 4380.0)	(22, 3365.0)	(23, 7595.0)	(24, 12397.0)	(25, 41155.0)	(26, 66367.0)	(27, 33760.0)	(28, 27908.0)	(29, 29325.0)	(30, 30759.0)	(31, 40234.0)	(32, 54561.0)	(33, 96814.0)	(34, 174048.0)	(35, 300293.0)	(36, 435334.0)	(37, 595949.0)	(38, 1161204.0)	(39, 2356884.0)	(40, 4581403.0)	(41, 5537348.0)	(42, 18488388.0)																		
SRR10215681_1_val_1	(20, 1316.0)	(21, 2674.0)	(22, 1550.0)	(23, 7184.0)	(24, 13439.0)	(25, 47503.0)	(26, 75284.0)	(27, 37346.0)	(28, 30289.0)	(29, 31454.0)	(30, 32178.0)	(31, 42063.0)	(32, 56320.0)	(33, 100477.0)	(34, 177244.0)	(35, 309059.0)	(36, 444034.0)	(37, 616125.0)	(38, 1269355.0)	(39, 2683020.0)	(40, 5232601.0)	(41, 6198977.0)	(42, 23471993.0)																		
SRR10215681_2_val_2	(20, 4099.0)	(21, 5749.0)	(22, 4298.0)	(23, 9891.0)	(24, 15750.0)	(25, 47645.0)	(26, 77974.0)	(27, 39555.0)	(28, 33347.0)	(29, 35268.0)	(30, 36302.0)	(31, 47718.0)	(32, 61255.0)	(33, 107797.0)	(34, 185596.0)	(35, 316694.0)	(36, 461296.0)	(37, 646643.0)	(38, 1315119.0)	(39, 2736850.0)	(40, 5295364.0)	(41, 6340033.0)	(42, 23057242.0)																		
SRR10215682_1_val_1	(20, 21400.0)	(22, 27862.0)	(24, 41733.0)	(26, 122638.0)	(28, 100607.0)	(30, 113848.0)	(32, 133690.0)	(34, 242578.0)	(36, 463343.0)	(38, 697879.0)	(40, 1423660.0)	(42, 1384447.0)	(44, 1129352.0)	(46, 943368.0)	(48, 853944.0)	(50, 1327731.0)	(52, 1430797.0)	(54, 1054835.0)	(56, 854636.0)	(58, 741888.0)	(60, 882626.0)	(62, 1010037.0)	(64, 902205.0)	(66, 802817.0)	(68, 656994.0)	(70, 681304.0)	(72, 802051.0)	(74, 741753.0)	(76, 571984.0)	(78, 544394.0)	(80, 567114.0)	(82, 637311.0)	(84, 636725.0)	(86, 602205.0)	(88, 583817.0)	(90, 634368.0)	(92, 713020.0)	(94, 829437.0)	(96, 1566170.0)	(98, 9185443.0)	(100, 17744479.0)
SRR10215682_2_val_2	(20, 52941.0)	(22, 54544.0)	(24, 62779.0)	(26, 132344.0)	(28, 119183.0)	(30, 135531.0)	(32, 148663.0)	(34, 256242.0)	(36, 481352.0)	(38, 709218.0)	(40, 1435935.0)	(42, 1384713.0)	(44, 1121454.0)	(46, 947073.0)	(48, 862694.0)	(50, 1307394.0)	(52, 1403982.0)	(54, 1038606.0)	(56, 840742.0)	(58, 724284.0)	(60, 863520.0)	(62, 984880.0)	(64, 882360.0)	(66, 777155.0)	(68, 633597.0)	(70, 661515.0)	(72, 775833.0)	(74, 711090.0)	(76, 622085.0)	(78, 565919.0)	(80, 582735.0)	(82, 647011.0)	(84, 637431.0)	(86, 594719.0)	(88, 552189.0)	(90, 576831.0)	(92, 636293.0)	(94, 733198.0)	(96, 1376701.0)	(98, 8909831.0)	(100, 18461923.0)
SRR10215683_1_val_1	(20, 14204.0)	(22, 18745.0)	(24, 27902.0)	(26, 108162.0)	(28, 91389.0)	(30, 102629.0)	(32, 125100.0)	(34, 247211.0)	(36, 487306.0)	(38, 720640.0)	(40, 1396513.0)	(42, 1392821.0)	(44, 1164219.0)	(46, 936761.0)	(48, 834927.0)	(50, 1246685.0)	(52, 1338281.0)	(54, 996427.0)	(56, 815957.0)	(58, 691624.0)	(60, 805666.0)	(62, 914079.0)	(64, 808626.0)	(66, 718208.0)	(68, 581380.0)	(70, 604335.0)	(72, 699656.0)	(74, 641720.0)	(76, 507723.0)	(78, 477352.0)	(80, 481860.0)	(82, 533333.0)	(84, 532395.0)	(86, 492981.0)	(88, 464987.0)	(90, 491911.0)	(92, 542657.0)	(94, 619314.0)	(96, 1289676.0)	(98, 8825112.0)	(100, 18079138.0)
SRR10215683_2_val_2	(20, 28140.0)	(22, 28805.0)	(24, 35453.0)	(26, 107088.0)	(28, 94940.0)	(30, 106551.0)	(32, 123661.0)	(34, 243866.0)	(36, 488838.0)	(38, 718359.0)	(40, 1397846.0)	(42, 1381861.0)	(44, 1145922.0)	(46, 933678.0)	(48, 830319.0)	(50, 1231993.0)	(52, 1320847.0)	(54, 984393.0)	(56, 803939.0)	(58, 678042.0)	(60, 792463.0)	(62, 896105.0)	(64, 793587.0)	(66, 694299.0)	(68, 565859.0)	(70, 592543.0)	(72, 684748.0)	(74, 624794.0)	(76, 535569.0)	(78, 489440.0)	(80, 491147.0)	(82, 541057.0)	(84, 536436.0)	(86, 491089.0)	(88, 449228.0)	(90, 460809.0)	(92, 500403.0)	(94, 574841.0)	(96, 1192105.0)	(98, 8675807.0)	(100, 18602742.0)
SRR10215684_1_val_1	(20, 7965.0)	(22, 12736.0)	(24, 27466.0)	(26, 183436.0)	(28, 151521.0)	(30, 139400.0)	(32, 229486.0)	(34, 594353.0)	(36, 1119953.0)	(38, 1338263.0)	(40, 1823607.0)	(42, 1840172.0)	(44, 1793809.0)	(46, 1504420.0)	(48, 1301539.0)	(50, 1513630.0)	(52, 1501344.0)	(54, 1347289.0)	(56, 1158298.0)	(58, 1008706.0)	(60, 1025809.0)	(62, 1084900.0)	(64, 1048645.0)	(66, 968234.0)	(68, 829020.0)	(70, 819225.0)	(72, 891207.0)	(74, 836365.0)	(76, 724535.0)	(78, 670505.0)	(80, 671930.0)	(82, 692518.0)	(84, 674568.0)	(86, 621759.0)	(88, 569317.0)	(90, 573598.0)	(92, 609369.0)	(94, 678262.0)	(96, 1285212.0)	(98, 8517984.0)	(100, 18108972.0)
SRR10215684_2_val_2	(20, 39283.0)	(22, 39943.0)	(24, 49306.0)	(26, 203575.0)	(28, 173319.0)	(30, 162573.0)	(32, 254025.0)	(34, 618176.0)	(36, 1143603.0)	(38, 1363676.0)	(40, 1851387.0)	(42, 1867695.0)	(44, 1820536.0)	(46, 1529211.0)	(48, 1327435.0)	(50, 1519815.0)	(52, 1502045.0)	(54, 1355362.0)	(56, 1168129.0)	(58, 1018890.0)	(60, 1036210.0)	(62, 1093910.0)	(64, 1055075.0)	(66, 970051.0)	(68, 824829.0)	(70, 817069.0)	(72, 889780.0)	(74, 838552.0)	(76, 751881.0)	(78, 689212.0)	(80, 688857.0)	(82, 720004.0)	(84, 747053.0)	(86, 641120.0)	(88, 576659.0)	(90, 579483.0)	(92, 615040.0)	(94, 677884.0)	(96, 1262548.0)	(98, 8336703.0)	(100, 17679423.0)
SRR10215685_1_val_1	(20, 14697.0)	(22, 19237.0)	(24, 33256.0)	(26, 146691.0)	(28, 110776.0)	(30, 110416.0)	(32, 165523.0)	(34, 397069.0)	(36, 740594.0)	(38, 921836.0)	(40, 1398238.0)	(42, 1398263.0)	(44, 1280737.0)	(46, 1049345.0)	(48, 910878.0)	(50, 1163296.0)	(52, 1178866.0)	(54, 965510.0)	(56, 821629.0)	(58, 710712.0)	(60, 757333.0)	(62, 815384.0)	(64, 763418.0)	(66, 704553.0)	(68, 584009.0)	(70, 596809.0)	(72, 655019.0)	(74, 614051.0)	(76, 503830.0)	(78, 470106.0)	(80, 474001.0)	(82, 506672.0)	(84, 504367.0)	(86, 475330.0)	(88, 451549.0)	(90, 478975.0)	(92, 521910.0)	(94, 588689.0)	(96, 1066923.0)	(98, 5828749.0)	(100, 11501590.0)
SRR10215685_2_val_2	(20, 38151.0)	(22, 39003.0)	(24, 48804.0)	(26, 153573.0)	(28, 124960.0)	(30, 126449.0)	(32, 176892.0)	(34, 407306.0)	(36, 753167.0)	(38, 928974.0)	(40, 1405135.0)	(42, 1397056.0)	(44, 1273890.0)	(46, 1051120.0)	(48, 915380.0)	(50, 1149463.0)	(52, 1159538.0)	(54, 956441.0)	(56, 814659.0)	(58, 701885.0)	(60, 746860.0)	(62, 800937.0)	(64, 753737.0)	(66, 691180.0)	(68, 572675.0)	(70, 587507.0)	(72, 640349.0)	(74, 597079.0)	(76, 540011.0)	(78, 488025.0)	(80, 487201.0)	(82, 516293.0)	(84, 509089.0)	(86, 475192.0)	(88, 436395.0)	(90, 448124.0)	(92, 482191.0)	(94, 541141.0)	(96, 961633.0)	(98, 5673489.0)	(100, 11829882.0)
SRR10215686_1_val_1	(20, 4620.0)	(22, 4579.0)	(24, 11414.0)	(26, 104549.0)	(28, 62655.0)	(30, 61416.0)	(32, 68181.0)	(34, 203522.0)	(36, 477495.0)	(38, 658344.0)	(40, 1354015.0)	(42, 1062380.0)	(44, 665989.0)	(46, 537591.0)	(48, 477095.0)	(50, 846990.0)	(52, 945607.0)	(54, 517307.0)	(56, 401823.0)	(58, 326826.0)	(60, 394818.0)	(62, 478318.0)	(64, 389875.0)	(66, 328635.0)	(68, 262449.0)	(70, 262967.0)	(72, 303282.0)	(74, 280358.0)	(76, 241091.0)	(78, 211333.0)	(80, 203340.0)	(82, 218946.0)	(84, 218923.0)	(86, 202851.0)	(88, 182273.0)	(90, 175776.0)	(92, 189072.0)	(94, 228508.0)	(96, 641069.0)	(98, 4720647.0)	(100, 9366422.0)
SRR10215686_2_val_2	(20, 18065.0)	(22, 17478.0)	(24, 23979.0)	(26, 116675.0)	(28, 75771.0)	(30, 74492.0)	(32, 81067.0)	(34, 216053.0)	(36, 488385.0)	(38, 668847.0)	(40, 1360220.0)	(42, 1070848.0)	(44, 675971.0)	(46, 548397.0)	(48, 488939.0)	(50, 848806.0)	(52, 944006.0)	(54, 520772.0)	(56, 408424.0)	(58, 332794.0)	(60, 400874.0)	(62, 483722.0)	(64, 395424.0)	(66, 333849.0)	(68, 266388.0)	(70, 267838.0)	(72, 307110.0)	(74, 284704.0)	(76, 253753.0)	(78, 221617.0)	(80, 213773.0)	(82, 229880.0)	(84, 230637.0)	(86, 215429.0)	(88, 195244.0)	(90, 189501.0)	(92, 205168.0)	(94, 249303.0)	(96, 641311.0)	(98, 4556285.0)	(100, 9171552.0)
SRR10215687_1_val_1	(20, 5237.0)	(22, 5142.0)	(24, 13150.0)	(26, 113483.0)	(28, 69282.0)	(30, 72871.0)	(32, 84215.0)	(34, 226702.0)	(36, 485339.0)	(38, 667364.0)	(40, 1432728.0)	(42, 1219824.0)	(44, 785754.0)	(46, 604440.0)	(48, 520854.0)	(50, 947899.0)	(52, 1092401.0)	(54, 612784.0)	(56, 464684.0)	(58, 368468.0)	(60, 454655.0)	(62, 555894.0)	(64, 458567.0)	(66, 378853.0)	(68, 296013.0)	(70, 305152.0)	(72, 366725.0)	(74, 333525.0)	(76, 281166.0)	(78, 241499.0)	(80, 236851.0)	(82, 260618.0)	(84, 259327.0)	(86, 236217.0)	(88, 206771.0)	(90, 200271.0)	(92, 222118.0)	(94, 268907.0)	(96, 726540.0)	(98, 5326669.0)	(100, 10913882.0)
SRR10215687_2_val_2	(20, 18616.0)	(22, 17607.0)	(24, 24712.0)	(26, 124679.0)	(28, 81405.0)	(30, 84376.0)	(32, 95481.0)	(34, 238597.0)	(36, 495057.0)	(38, 677247.0)	(40, 1439726.0)	(42, 1227318.0)	(44, 794645.0)	(46, 614586.0)	(48, 531800.0)	(50, 949665.0)	(52, 1090094.0)	(54, 615612.0)	(56, 470639.0)	(58, 373858.0)	(60, 459929.0)	(62, 560785.0)	(64, 463788.0)	(66, 383239.0)	(68, 298988.0)	(70, 308739.0)	(72, 369333.0)	(74, 337527.0)	(76, 294616.0)	(78, 251119.0)	(80, 246758.0)	(82, 271289.0)	(84, 269691.0)	(86, 247322.0)	(88, 219363.0)	(90, 212770.0)	(92, 235259.0)	(94, 286017.0)	(96, 720931.0)	(98, 5154225.0)	(100, 10765433.0)
SRR10215688_1_val_1	(20, 15632.0)	(22, 21761.0)	(24, 39584.0)	(26, 206730.0)	(28, 147780.0)	(30, 148870.0)	(32, 209523.0)	(34, 471958.0)	(36, 841901.0)	(38, 964545.0)	(40, 1561914.0)	(42, 1691763.0)	(44, 1471646.0)	(46, 1104266.0)	(48, 917436.0)	(50, 1255903.0)	(52, 1408633.0)	(54, 1124078.0)	(56, 918103.0)	(58, 767755.0)	(60, 860730.0)	(62, 960275.0)	(64, 932441.0)	(66, 850318.0)	(68, 668445.0)	(70, 690484.0)	(72, 794674.0)	(74, 750915.0)	(76, 600530.0)	(78, 542514.0)	(80, 561906.0)	(82, 623093.0)	(84, 625933.0)	(86, 568391.0)	(88, 510916.0)	(90, 536070.0)	(92, 594950.0)	(94, 674433.0)	(96, 1357411.0)	(98, 8339752.0)	(100, 17536331.0)
SRR10215688_2_val_2	(20, 33038.0)	(22, 34890.0)	(24, 47733.0)	(26, 208127.0)	(28, 153281.0)	(30, 153752.0)	(32, 211078.0)	(34, 469590.0)	(36, 843708.0)	(38, 964249.0)	(40, 1561882.0)	(42, 1680381.0)	(44, 1452078.0)	(46, 1101127.0)	(48, 916038.0)	(50, 1237623.0)	(52, 1389824.0)	(54, 1112089.0)	(56, 907369.0)	(58, 755230.0)	(60, 847552.0)	(62, 942706.0)	(64, 918045.0)	(66, 832685.0)	(68, 655580.0)	(70, 680613.0)	(72, 781872.0)	(74, 736435.0)	(76, 635442.0)	(78, 559904.0)	(80, 575937.0)	(82, 635914.0)	(84, 634260.0)	(86, 571159.0)	(88, 501200.0)	(90, 512904.0)	(92, 562423.0)	(94, 640759.0)	(96, 1276183.0)	(98, 8226527.0)	(100, 17909106.0)
SRR10215689_1_val_1	(20, 13504.0)	(22, 19130.0)	(24, 34993.0)	(26, 176799.0)	(28, 125949.0)	(30, 126574.0)	(32, 178568.0)	(34, 401670.0)	(36, 713498.0)	(38, 814649.0)	(40, 1320894.0)	(42, 1439722.0)	(44, 1279362.0)	(46, 966240.0)	(48, 831944.0)	(50, 1123803.0)	(52, 1226986.0)	(54, 984874.0)	(56, 817110.0)	(58, 693445.0)	(60, 743372.0)	(62, 861553.0)	(64, 832911.0)	(66, 750193.0)	(68, 585411.0)	(70, 595297.0)	(72, 689028.0)	(74, 661267.0)	(76, 527664.0)	(78, 472667.0)	(80, 481697.0)	(82, 540276.0)	(84, 552721.0)	(86, 506400.0)	(88, 459904.0)	(90, 479197.0)	(92, 536852.0)	(94, 614774.0)	(96, 1211336.0)	(98, 7225533.0)	(100, 15044717.0)
SRR10215689_2_val_2	(20, 31572.0)	(22, 32251.0)	(24, 42832.0)	(26, 178907.0)	(28, 131269.0)	(30, 132293.0)	(32, 181400.0)	(34, 401431.0)	(36, 716020.0)	(38, 815949.0)	(40, 1320698.0)	(42, 1427927.0)	(44, 1260170.0)	(46, 961840.0)	(48, 829843.0)	(50, 1106909.0)	(52, 1208231.0)	(54, 972810.0)	(56, 807252.0)	(58, 681557.0)	(60, 731032.0)	(62, 847129.0)	(64, 822729.0)	(66, 736895.0)	(68, 571585.0)	(70, 584506.0)	(72, 673965.0)	(74, 644560.0)	(76, 558833.0)	(78, 488071.0)	(80, 493914.0)	(82, 550015.0)	(84, 559776.0)	(86, 508394.0)	(88, 450606.0)	(90, 459456.0)	(92, 507149.0)	(94, 583664.0)	(96, 1152431.0)	(98, 7153361.0)	(100, 15343252.0)
