Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
SRR10215680_1_val_1	(16.0, 1.0)	(17.0, 4.0)	(18.0, 23.0)	(19.0, 120.0)	(20.0, 477.0)	(21.0, 1725.0)	(22.0, 5164.0)	(23.0, 13057.0)	(24.0, 30770.0)	(25.0, 66631.0)	(26.0, 131568.0)	(27.0, 233091.0)	(28.0, 379657.0)	(29.0, 574700.0)	(30.0, 818875.0)	(31.0, 1166246.0)	(32.0, 1713565.0)	(33.0, 2929876.0)	(34.0, 7665168.0)	(35.0, 18351849.0)													
SRR10215680_2_val_2	(6.0, 3.0)	(7.0, 3.0)	(8.0, 6.0)	(9.0, 9.0)	(10.0, 13.0)	(11.0, 17.0)	(12.0, 16.0)	(13.0, 30.0)	(14.0, 412.0)	(15.0, 1497.0)	(16.0, 3209.0)	(17.0, 6337.0)	(18.0, 11689.0)	(19.0, 20239.0)	(20.0, 34447.0)	(21.0, 53202.0)	(22.0, 79451.0)	(23.0, 114198.0)	(24.0, 161394.0)	(25.0, 226760.0)	(26.0, 312175.0)	(27.0, 423571.0)	(28.0, 565777.0)	(29.0, 748160.0)	(30.0, 991592.0)	(31.0, 1345849.0)	(32.0, 1939848.0)	(33.0, 3167848.0)	(34.0, 7517606.0)	(35.0, 16357209.0)			
SRR10215681_1_val_1	(15.0, 1.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 15.0)	(19.0, 69.0)	(20.0, 402.0)	(21.0, 1517.0)	(22.0, 4880.0)	(23.0, 13062.0)	(24.0, 31353.0)	(25.0, 68660.0)	(26.0, 134020.0)	(27.0, 239876.0)	(28.0, 387669.0)	(29.0, 585432.0)	(30.0, 828885.0)	(31.0, 1169250.0)	(32.0, 1688905.0)	(33.0, 2839742.0)	(34.0, 7741911.0)	(35.0, 25145834.0)												
SRR10215681_2_val_2	(6.0, 1.0)	(7.0, 4.0)	(8.0, 9.0)	(9.0, 10.0)	(10.0, 26.0)	(11.0, 19.0)	(12.0, 36.0)	(13.0, 38.0)	(14.0, 254.0)	(15.0, 1085.0)	(16.0, 2973.0)	(17.0, 5945.0)	(18.0, 10386.0)	(19.0, 17323.0)	(20.0, 29559.0)	(21.0, 48360.0)	(22.0, 75596.0)	(23.0, 115624.0)	(24.0, 171271.0)	(25.0, 245620.0)	(26.0, 338637.0)	(27.0, 453181.0)	(28.0, 592651.0)	(29.0, 763970.0)	(30.0, 976836.0)	(31.0, 1288229.0)	(32.0, 1812810.0)	(33.0, 2954416.0)	(34.0, 7630241.0)	(35.0, 23346375.0)			
SRR10215682_1_val_1	(16.0, 2.0)	(17.0, 1.0)	(18.0, 18.0)	(19.0, 96.0)	(20.0, 452.0)	(21.0, 2413.0)	(22.0, 11152.0)	(23.0, 38785.0)	(24.0, 106707.0)	(25.0, 234184.0)	(26.0, 432580.0)	(27.0, 695903.0)	(28.0, 1008288.0)	(29.0, 1349963.0)	(30.0, 1711465.0)	(31.0, 2099773.0)	(32.0, 2547327.0)	(33.0, 3110113.0)	(34.0, 3861684.0)	(35.0, 4911644.0)	(36.0, 6554341.0)	(37.0, 9126485.0)	(38.0, 10263171.0)	(39.0, 6111124.0)	(40.0, 228819.0)								
SRR10215682_2_val_2	(12.0, 1.0)	(13.0, 3.0)	(14.0, 9.0)	(15.0, 40.0)	(16.0, 136.0)	(17.0, 387.0)	(18.0, 1423.0)	(19.0, 6625.0)	(20.0, 46563.0)	(21.0, 119818.0)	(22.0, 221935.0)	(23.0, 337762.0)	(24.0, 457849.0)	(25.0, 579188.0)	(26.0, 702831.0)	(27.0, 832096.0)	(28.0, 980041.0)	(29.0, 1155779.0)	(30.0, 1378694.0)	(31.0, 1681908.0)	(32.0, 2082363.0)	(33.0, 2632563.0)	(34.0, 3422815.0)	(35.0, 4548142.0)	(36.0, 6346982.0)	(37.0, 9189981.0)	(38.0, 10692075.0)	(39.0, 6795887.0)	(40.0, 192594.0)				
SRR10215683_1_val_1	(16.0, 1.0)	(17.0, 0.0)	(18.0, 4.0)	(19.0, 25.0)	(20.0, 170.0)	(21.0, 827.0)	(22.0, 3634.0)	(23.0, 12438.0)	(24.0, 34524.0)	(25.0, 79226.0)	(26.0, 152357.0)	(27.0, 258354.0)	(28.0, 391701.0)	(29.0, 551663.0)	(30.0, 736904.0)	(31.0, 954863.0)	(32.0, 1233776.0)	(33.0, 1623399.0)	(34.0, 2241728.0)	(35.0, 3214331.0)	(36.0, 5115504.0)	(37.0, 9311007.0)	(38.0, 13939975.0)	(39.0, 11307250.0)	(40.0, 705951.0)								
SRR10215683_2_val_2	(11.0, 1.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 11.0)	(15.0, 29.0)	(16.0, 66.0)	(17.0, 242.0)	(18.0, 784.0)	(19.0, 3133.0)	(20.0, 20107.0)	(21.0, 49336.0)	(22.0, 87401.0)	(23.0, 133627.0)	(24.0, 182200.0)	(25.0, 235480.0)	(26.0, 292961.0)	(27.0, 354859.0)	(28.0, 428619.0)	(29.0, 516891.0)	(30.0, 634303.0)	(31.0, 800137.0)	(32.0, 1033506.0)	(33.0, 1381405.0)	(34.0, 1976739.0)	(35.0, 2929845.0)	(36.0, 4912318.0)	(37.0, 9280424.0)	(38.0, 14173588.0)	(39.0, 11956570.0)	(40.0, 485029.0)			
SRR10215684_1_val_1	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 7.0)	(18.0, 40.0)	(19.0, 222.0)	(20.0, 1035.0)	(21.0, 4165.0)	(22.0, 14766.0)	(23.0, 42362.0)	(24.0, 96304.0)	(25.0, 185034.0)	(26.0, 313470.0)	(27.0, 483381.0)	(28.0, 690882.0)	(29.0, 931315.0)	(30.0, 1204639.0)	(31.0, 1523236.0)	(32.0, 1902871.0)	(33.0, 2399045.0)	(34.0, 3128062.0)	(35.0, 4207877.0)	(36.0, 6171054.0)	(37.0, 10094086.0)	(38.0, 14270318.0)	(39.0, 12157549.0)	(40.0, 677605.0)						
SRR10215684_2_val_2	(12.0, 5.0)	(13.0, 28.0)	(14.0, 100.0)	(15.0, 318.0)	(16.0, 869.0)	(17.0, 2401.0)	(18.0, 6135.0)	(19.0, 16050.0)	(20.0, 61236.0)	(21.0, 130560.0)	(22.0, 214397.0)	(23.0, 302818.0)	(24.0, 391195.0)	(25.0, 478729.0)	(26.0, 569925.0)	(27.0, 673090.0)	(28.0, 786986.0)	(29.0, 921032.0)	(30.0, 1102329.0)	(31.0, 1355944.0)	(32.0, 1721248.0)	(33.0, 2221448.0)	(34.0, 2992274.0)	(35.0, 4128537.0)	(36.0, 6153334.0)	(37.0, 9986753.0)	(38.0, 13892499.0)	(39.0, 11931987.0)	(40.0, 457100.0)				
SRR10215685_1_val_1	(16.0, 1.0)	(17.0, 2.0)	(18.0, 11.0)	(19.0, 55.0)	(20.0, 364.0)	(21.0, 1685.0)	(22.0, 7539.0)	(23.0, 26479.0)	(24.0, 72110.0)	(25.0, 159161.0)	(26.0, 297857.0)	(27.0, 484410.0)	(28.0, 711071.0)	(29.0, 962973.0)	(30.0, 1235528.0)	(31.0, 1529125.0)	(32.0, 1866745.0)	(33.0, 2279248.0)	(34.0, 2834011.0)	(35.0, 3583362.0)	(36.0, 4772460.0)	(37.0, 6750342.0)	(38.0, 8382039.0)	(39.0, 6197948.0)	(40.0, 246310.0)								
SRR10215685_2_val_2	(13.0, 3.0)	(14.0, 12.0)	(15.0, 59.0)	(16.0, 161.0)	(17.0, 477.0)	(18.0, 1692.0)	(19.0, 6960.0)	(20.0, 38723.0)	(21.0, 96821.0)	(22.0, 174561.0)	(23.0, 259372.0)	(24.0, 346814.0)	(25.0, 436111.0)	(26.0, 527153.0)	(27.0, 625366.0)	(28.0, 735741.0)	(29.0, 870627.0)	(30.0, 1046568.0)	(31.0, 1279332.0)	(32.0, 1586717.0)	(33.0, 1995933.0)	(34.0, 2578571.0)	(35.0, 3387241.0)	(36.0, 4660050.0)	(37.0, 6722569.0)	(38.0, 8412080.0)	(39.0, 6421393.0)	(40.0, 189729.0)					
SRR10215686_1_val_1	(18.0, 4.0)	(19.0, 31.0)	(20.0, 78.0)	(21.0, 347.0)	(22.0, 1388.0)	(23.0, 4346.0)	(24.0, 11524.0)	(25.0, 25357.0)	(26.0, 46545.0)	(27.0, 77499.0)	(28.0, 119198.0)	(29.0, 172318.0)	(30.0, 237582.0)	(31.0, 321254.0)	(32.0, 434659.0)	(33.0, 604431.0)	(34.0, 924438.0)	(35.0, 1561496.0)	(36.0, 2773586.0)	(37.0, 5136486.0)	(38.0, 7905723.0)	(39.0, 7390966.0)	(40.0, 544095.0)										
SRR10215686_2_val_2	(9.0, 2.0)	(10.0, 7.0)	(11.0, 25.0)	(12.0, 56.0)	(13.0, 65.0)	(14.0, 101.0)	(15.0, 164.0)	(16.0, 244.0)	(17.0, 455.0)	(18.0, 921.0)	(19.0, 2952.0)	(20.0, 12129.0)	(21.0, 25953.0)	(22.0, 43870.0)	(23.0, 62755.0)	(24.0, 85046.0)	(25.0, 108844.0)	(26.0, 134923.0)	(27.0, 164407.0)	(28.0, 196667.0)	(29.0, 237040.0)	(30.0, 291591.0)	(31.0, 366628.0)	(32.0, 473557.0)	(33.0, 638027.0)	(34.0, 940387.0)	(35.0, 1507639.0)	(36.0, 2591650.0)	(37.0, 4678751.0)	(38.0, 7391343.0)	(39.0, 8000731.0)	(40.0, 336421.0)	
SRR10215687_1_val_1	(16.0, 1.0)	(17.0, 2.0)	(18.0, 2.0)	(19.0, 23.0)	(20.0, 106.0)	(21.0, 467.0)	(22.0, 1768.0)	(23.0, 5416.0)	(24.0, 14179.0)	(25.0, 30462.0)	(26.0, 56586.0)	(27.0, 93388.0)	(28.0, 141163.0)	(29.0, 201283.0)	(30.0, 277357.0)	(31.0, 368710.0)	(32.0, 496382.0)	(33.0, 686676.0)	(34.0, 1038592.0)	(35.0, 1726798.0)	(36.0, 3048283.0)	(37.0, 5759019.0)	(38.0, 9184714.0)	(39.0, 8583831.0)	(40.0, 607633.0)								
SRR10215687_2_val_2	(9.0, 1.0)	(10.0, 6.0)	(11.0, 35.0)	(12.0, 53.0)	(13.0, 60.0)	(14.0, 95.0)	(15.0, 165.0)	(16.0, 264.0)	(17.0, 448.0)	(18.0, 886.0)	(19.0, 2640.0)	(20.0, 11448.0)	(21.0, 24111.0)	(22.0, 41321.0)	(23.0, 60626.0)	(24.0, 82407.0)	(25.0, 106828.0)	(26.0, 134317.0)	(27.0, 163923.0)	(28.0, 199088.0)	(29.0, 242068.0)	(30.0, 301619.0)	(31.0, 381763.0)	(32.0, 498616.0)	(33.0, 677571.0)	(34.0, 1006879.0)	(35.0, 1619259.0)	(36.0, 2800149.0)	(37.0, 5214699.0)	(38.0, 8723416.0)	(39.0, 9603917.0)	(40.0, 424163.0)	
SRR10215688_1_val_1	(18.0, 5.0)	(19.0, 28.0)	(20.0, 157.0)	(21.0, 846.0)	(22.0, 3734.0)	(23.0, 12939.0)	(24.0, 36141.0)	(25.0, 81887.0)	(26.0, 159877.0)	(27.0, 270060.0)	(28.0, 414545.0)	(29.0, 588292.0)	(30.0, 790579.0)	(31.0, 1031583.0)	(32.0, 1324827.0)	(33.0, 1722306.0)	(34.0, 2334211.0)	(35.0, 3294274.0)	(36.0, 5074072.0)	(37.0, 8882008.0)	(38.0, 14457832.0)	(39.0, 13563427.0)	(40.0, 826663.0)										
SRR10215688_2_val_2	(12.0, 1.0)	(13.0, 5.0)	(14.0, 5.0)	(15.0, 34.0)	(16.0, 118.0)	(17.0, 309.0)	(18.0, 1048.0)	(19.0, 4285.0)	(20.0, 24575.0)	(21.0, 58150.0)	(22.0, 102429.0)	(23.0, 153453.0)	(24.0, 207210.0)	(25.0, 266663.0)	(26.0, 329705.0)	(27.0, 400804.0)	(28.0, 482020.0)	(29.0, 579758.0)	(30.0, 710810.0)	(31.0, 891834.0)	(32.0, 1142114.0)	(33.0, 1506856.0)	(34.0, 2105315.0)	(35.0, 3067470.0)	(36.0, 4912781.0)	(37.0, 8778460.0)	(38.0, 14376197.0)	(39.0, 14167086.0)	(40.0, 600798.0)				
SRR10215689_1_val_1	(17.0, 4.0)	(18.0, 4.0)	(19.0, 45.0)	(20.0, 165.0)	(21.0, 864.0)	(22.0, 3747.0)	(23.0, 13072.0)	(24.0, 36067.0)	(25.0, 81836.0)	(26.0, 157450.0)	(27.0, 266755.0)	(28.0, 406332.0)	(29.0, 572316.0)	(30.0, 764488.0)	(31.0, 987388.0)	(32.0, 1264613.0)	(33.0, 1637567.0)	(34.0, 2195780.0)	(35.0, 3058472.0)	(36.0, 4638927.0)	(37.0, 7891653.0)	(38.0, 12172626.0)	(39.0, 10908018.0)	(40.0, 604295.0)									
SRR10215689_2_val_2	(13.0, 1.0)	(14.0, 6.0)	(15.0, 23.0)	(16.0, 80.0)	(17.0, 227.0)	(18.0, 828.0)	(19.0, 3333.0)	(20.0, 19746.0)	(21.0, 47709.0)	(22.0, 86061.0)	(23.0, 130604.0)	(24.0, 179668.0)	(25.0, 232696.0)	(26.0, 292239.0)	(27.0, 356818.0)	(28.0, 433040.0)	(29.0, 524266.0)	(30.0, 645350.0)	(31.0, 813030.0)	(32.0, 1043802.0)	(33.0, 1379873.0)	(34.0, 1926469.0)	(35.0, 2808435.0)	(36.0, 4459850.0)	(37.0, 7812130.0)	(38.0, 12327668.0)	(39.0, 11670635.0)	(40.0, 467897.0)					
