Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
SRR10215667_1_val_1	(16.0, 1.0)	(17.0, 3.0)	(18.0, 26.0)	(19.0, 118.0)	(20.0, 689.0)	(21.0, 3462.0)	(22.0, 14555.0)	(23.0, 47734.0)	(24.0, 120593.0)	(25.0, 246725.0)	(26.0, 432545.0)	(27.0, 665044.0)	(28.0, 931902.0)	(29.0, 1219122.0)	(30.0, 1528573.0)	(31.0, 1859385.0)	(32.0, 2230837.0)	(33.0, 2671160.0)	(34.0, 3238017.0)	(35.0, 3974823.0)	(36.0, 5037882.0)	(37.0, 6545423.0)	(38.0, 7149435.0)	(39.0, 3907724.0)	(40.0, 116267.0)								
SRR10215667_2_val_2	(13.0, 1.0)	(14.0, 8.0)	(15.0, 27.0)	(16.0, 137.0)	(17.0, 506.0)	(18.0, 1932.0)	(19.0, 8416.0)	(20.0, 56749.0)	(21.0, 149818.0)	(22.0, 272825.0)	(23.0, 402755.0)	(24.0, 524247.0)	(25.0, 639945.0)	(26.0, 752785.0)	(27.0, 867526.0)	(28.0, 994722.0)	(29.0, 1154131.0)	(30.0, 1357454.0)	(31.0, 1619876.0)	(32.0, 1965354.0)	(33.0, 2414158.0)	(34.0, 3007788.0)	(35.0, 3768968.0)	(36.0, 4818736.0)	(37.0, 6226659.0)	(38.0, 6845067.0)	(39.0, 3994884.0)	(40.0, 96571.0)					
SRR10215668_1_val_1	(16.0, 2.0)	(17.0, 4.0)	(18.0, 42.0)	(19.0, 220.0)	(20.0, 1145.0)	(21.0, 5556.0)	(22.0, 22931.0)	(23.0, 74077.0)	(24.0, 184826.0)	(25.0, 375751.0)	(26.0, 652887.0)	(27.0, 1006336.0)	(28.0, 1408922.0)	(29.0, 1841968.0)	(30.0, 2303015.0)	(31.0, 2801878.0)	(32.0, 3363125.0)	(33.0, 4022829.0)	(34.0, 4865871.0)	(35.0, 5939366.0)	(36.0, 7488163.0)	(37.0, 9664115.0)	(38.0, 10514441.0)	(39.0, 6374164.0)	(40.0, 239403.0)								
SRR10215668_2_val_2	(13.0, 8.0)	(14.0, 26.0)	(15.0, 106.0)	(16.0, 323.0)	(17.0, 1178.0)	(18.0, 4498.0)	(19.0, 18103.0)	(20.0, 98097.0)	(21.0, 249692.0)	(22.0, 454252.0)	(23.0, 661153.0)	(24.0, 856524.0)	(25.0, 1038417.0)	(26.0, 1212920.0)	(27.0, 1386541.0)	(28.0, 1585425.0)	(29.0, 1829305.0)	(30.0, 2142649.0)	(31.0, 2547435.0)	(32.0, 3061925.0)	(33.0, 3729534.0)	(34.0, 4599359.0)	(35.0, 5686194.0)	(36.0, 7174892.0)	(37.0, 9114424.0)	(38.0, 9707243.0)	(39.0, 5834930.0)	(40.0, 155884.0)					
SRR10215669_1_val_1	(17.0, 2.0)	(18.0, 20.0)	(19.0, 111.0)	(20.0, 486.0)	(21.0, 2179.0)	(22.0, 7769.0)	(23.0, 22064.0)	(24.0, 51158.0)	(25.0, 98806.0)	(26.0, 168230.0)	(27.0, 258896.0)	(28.0, 369473.0)	(29.0, 498030.0)	(30.0, 644467.0)	(31.0, 814500.0)	(32.0, 1021829.0)	(33.0, 1294183.0)	(34.0, 1704495.0)	(35.0, 2326015.0)	(36.0, 3450136.0)	(37.0, 5678368.0)	(38.0, 8031715.0)	(39.0, 6386291.0)	(40.0, 376133.0)									
SRR10215669_2_val_2	(12.0, 2.0)	(13.0, 9.0)	(14.0, 31.0)	(15.0, 118.0)	(16.0, 349.0)	(17.0, 969.0)	(18.0, 2523.0)	(19.0, 7576.0)	(20.0, 33364.0)	(21.0, 73667.0)	(22.0, 124305.0)	(23.0, 175931.0)	(24.0, 226992.0)	(25.0, 276997.0)	(26.0, 330951.0)	(27.0, 387896.0)	(28.0, 450796.0)	(29.0, 525935.0)	(30.0, 621944.0)	(31.0, 761090.0)	(32.0, 957273.0)	(33.0, 1233282.0)	(34.0, 1659939.0)	(35.0, 2311503.0)	(36.0, 3457469.0)	(37.0, 5597484.0)	(38.0, 7692990.0)	(39.0, 6058899.0)	(40.0, 235072.0)				
SRR10215670_1_val_1	(16.0, 2.0)	(17.0, 14.0)	(18.0, 81.0)	(19.0, 335.0)	(20.0, 1512.0)	(21.0, 5683.0)	(22.0, 19091.0)	(23.0, 51871.0)	(24.0, 115737.0)	(25.0, 216451.0)	(26.0, 361133.0)	(27.0, 550895.0)	(28.0, 779861.0)	(29.0, 1043625.0)	(30.0, 1342296.0)	(31.0, 1689389.0)	(32.0, 2105357.0)	(33.0, 2645404.0)	(34.0, 3458180.0)	(35.0, 4633363.0)	(36.0, 6739395.0)	(37.0, 10870745.0)	(38.0, 15458335.0)	(39.0, 14258117.0)	(40.0, 831647.0)								
SRR10215670_2_val_2	(12.0, 7.0)	(13.0, 22.0)	(14.0, 131.0)	(15.0, 404.0)	(16.0, 1068.0)	(17.0, 2811.0)	(18.0, 7079.0)	(19.0, 18512.0)	(20.0, 64967.0)	(21.0, 134603.0)	(22.0, 221689.0)	(23.0, 311445.0)	(24.0, 402599.0)	(25.0, 495073.0)	(26.0, 595641.0)	(27.0, 703836.0)	(28.0, 827654.0)	(29.0, 978398.0)	(30.0, 1177194.0)	(31.0, 1461286.0)	(32.0, 1861308.0)	(33.0, 2428583.0)	(34.0, 3307013.0)	(35.0, 4570872.0)	(36.0, 6790947.0)	(37.0, 10920546.0)	(38.0, 15312228.0)	(39.0, 14034787.0)	(40.0, 547816.0)				
SRR10215671_1_val_1	(17.0, 1.0)	(18.0, 4.0)	(19.0, 29.0)	(20.0, 190.0)	(21.0, 883.0)	(22.0, 3851.0)	(23.0, 13157.0)	(24.0, 35897.0)	(25.0, 82195.0)	(26.0, 157817.0)	(27.0, 264075.0)	(28.0, 399340.0)	(29.0, 560163.0)	(30.0, 745105.0)	(31.0, 961004.0)	(32.0, 1237355.0)	(33.0, 1624515.0)	(34.0, 2225975.0)	(35.0, 3179364.0)	(36.0, 4936789.0)	(37.0, 8478809.0)	(38.0, 12324295.0)	(39.0, 9961618.0)	(40.0, 637720.0)									
SRR10215671_2_val_2	(13.0, 5.0)	(14.0, 6.0)	(15.0, 28.0)	(16.0, 63.0)	(17.0, 185.0)	(18.0, 654.0)	(19.0, 2960.0)	(20.0, 17984.0)	(21.0, 43976.0)	(22.0, 79329.0)	(23.0, 122372.0)	(24.0, 169516.0)	(25.0, 222244.0)	(26.0, 278356.0)	(27.0, 341775.0)	(28.0, 413456.0)	(29.0, 499336.0)	(30.0, 614933.0)	(31.0, 775551.0)	(32.0, 1006395.0)	(33.0, 1347352.0)	(34.0, 1934648.0)	(35.0, 2884089.0)	(36.0, 4730480.0)	(37.0, 8464046.0)	(38.0, 12643816.0)	(39.0, 10768865.0)	(40.0, 467731.0)					
SRR10215672_1_val_1	(16.0, 1.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 36.0)	(20.0, 145.0)	(21.0, 786.0)	(22.0, 3541.0)	(23.0, 12720.0)	(24.0, 35393.0)	(25.0, 80622.0)	(26.0, 154406.0)	(27.0, 260071.0)	(28.0, 389825.0)	(29.0, 545812.0)	(30.0, 722312.0)	(31.0, 931866.0)	(32.0, 1192601.0)	(33.0, 1557792.0)	(34.0, 2126975.0)	(35.0, 3025030.0)	(36.0, 4701395.0)	(37.0, 8164901.0)	(38.0, 11298600.0)	(39.0, 8468928.0)	(40.0, 505860.0)								
SRR10215672_2_val_2	(13.0, 3.0)	(14.0, 6.0)	(15.0, 26.0)	(16.0, 50.0)	(17.0, 161.0)	(18.0, 671.0)	(19.0, 2950.0)	(20.0, 19308.0)	(21.0, 47389.0)	(22.0, 84954.0)	(23.0, 130282.0)	(24.0, 180777.0)	(25.0, 235800.0)	(26.0, 292314.0)	(27.0, 354516.0)	(28.0, 425915.0)	(29.0, 511110.0)	(30.0, 622055.0)	(31.0, 780326.0)	(32.0, 1000183.0)	(33.0, 1327576.0)	(34.0, 1874552.0)	(35.0, 2770051.0)	(36.0, 4544350.0)	(37.0, 8171730.0)	(38.0, 11500367.0)	(39.0, 8932406.0)	(40.0, 369795.0)					
SRR10215673_1_val_1	(18.0, 8.0)	(19.0, 44.0)	(20.0, 188.0)	(21.0, 842.0)	(22.0, 3977.0)	(23.0, 13689.0)	(24.0, 37950.0)	(25.0, 85076.0)	(26.0, 163180.0)	(27.0, 270987.0)	(28.0, 408140.0)	(29.0, 565664.0)	(30.0, 746411.0)	(31.0, 956202.0)	(32.0, 1219423.0)	(33.0, 1585010.0)	(34.0, 2161956.0)	(35.0, 3066992.0)	(36.0, 4755938.0)	(37.0, 8194553.0)	(38.0, 11010043.0)	(39.0, 8012470.0)	(40.0, 449808.0)										
SRR10215673_2_val_2	(12.0, 1.0)	(13.0, 2.0)	(14.0, 7.0)	(15.0, 20.0)	(16.0, 47.0)	(17.0, 177.0)	(18.0, 587.0)	(19.0, 2899.0)	(20.0, 18541.0)	(21.0, 46339.0)	(22.0, 85096.0)	(23.0, 129623.0)	(24.0, 180790.0)	(25.0, 235875.0)	(26.0, 294184.0)	(27.0, 355556.0)	(28.0, 428070.0)	(29.0, 515298.0)	(30.0, 628541.0)	(31.0, 786103.0)	(32.0, 1008176.0)	(33.0, 1340915.0)	(34.0, 1891951.0)	(35.0, 2796459.0)	(36.0, 4568573.0)	(37.0, 8153015.0)	(38.0, 11317558.0)	(39.0, 8576402.0)	(40.0, 347746.0)				
SRR10215674_1_val_1	(16.0, 1.0)	(17.0, 5.0)	(18.0, 67.0)	(19.0, 326.0)	(20.0, 1634.0)	(21.0, 7742.0)	(22.0, 31299.0)	(23.0, 97607.0)	(24.0, 238650.0)	(25.0, 480595.0)	(26.0, 820564.0)	(27.0, 1239607.0)	(28.0, 1712102.0)	(29.0, 2211781.0)	(30.0, 2740013.0)	(31.0, 3307670.0)	(32.0, 3948370.0)	(33.0, 4711803.0)	(34.0, 5687024.0)	(35.0, 6931528.0)	(36.0, 8693813.0)	(37.0, 11068710.0)	(38.0, 11451662.0)	(39.0, 6502855.0)	(40.0, 222216.0)								
SRR10215674_2_val_2	(13.0, 9.0)	(14.0, 23.0)	(15.0, 74.0)	(16.0, 278.0)	(17.0, 1038.0)	(18.0, 3862.0)	(19.0, 16339.0)	(20.0, 95992.0)	(21.0, 248515.0)	(22.0, 454882.0)	(23.0, 670674.0)	(24.0, 880592.0)	(25.0, 1074476.0)	(26.0, 1267983.0)	(27.0, 1466714.0)	(28.0, 1692691.0)	(29.0, 1973736.0)	(30.0, 2336477.0)	(31.0, 2809046.0)	(32.0, 3421677.0)	(33.0, 4235106.0)	(34.0, 5295972.0)	(35.0, 6641855.0)	(36.0, 8483936.0)	(37.0, 10812189.0)	(38.0, 11325969.0)	(39.0, 6719500.0)	(40.0, 178039.0)					
