Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10215668_1_val_1	(1.0, 37.473778013490936)	(2.0, 7.05339763405705)	(3.0, 1.5803166717295463)	(4.0, 0.7479151247426257)	(5.0, 0.5375888661000252)	(6.0, 0.42734042765361296)	(7.0, 0.4024228681091418)	(8.0, 0.39014191678998567)	(9.0, 0.3341781334349956)	('>10', 7.679562911773516)	('>50', 4.774699530599565)	('>100', 13.179664946927797)	('>500', 6.56627954603272)	('>1k', 15.612578454831711)	('>5k', 2.707879798247491)	('>10k+', 0.5322551554790576)
SRR10215668_2_val_2	(1.0, 38.30409098319368)	(2.0, 6.806900877127912)	(3.0, 1.5522448825909898)	(4.0, 0.7549103998539902)	(5.0, 0.5515418451428684)	(6.0, 0.4783758670415148)	(7.0, 0.4018539081818584)	(8.0, 0.39663662356890694)	(9.0, 0.37613778554502403)	('>10', 7.934703011179344)	('>50', 4.891170542289342)	('>100', 13.200030064982233)	('>500', 6.5428334534915855)	('>1k', 15.191830944546458)	('>5k', 2.336818055253297)	('>10k+', 0.2799207560109188)
SRR10215669_1_val_1	(1.0, 52.78776808756138)	(2.0, 6.150493692961774)	(3.0, 1.3753886332839154)	(4.0, 0.8601752989627219)	(5.0, 0.6449839457714769)	(6.0, 0.5858204045336755)	(7.0, 0.4884718012288787)	(8.0, 0.43054588058542564)	(9.0, 0.40445811148668764)	('>10', 7.890225036231502)	('>50', 3.9201783087906277)	('>100', 10.947629800158786)	('>500', 5.593608345999377)	('>1k', 7.774242876936734)	('>5k', 0.14600977550711655)	('>10k+', 0.0)
SRR10215669_2_val_2	(1.0, 53.16435331842344)	(2.0, 6.045679201108316)	(3.0, 1.3810174406501152)	(4.0, 0.8562602174064425)	(5.0, 0.6480740435409204)	(6.0, 0.5869746169977025)	(7.0, 0.46850174876313483)	(8.0, 0.4268182751649934)	(9.0, 0.39715277763037077)	('>10', 7.930900364951205)	('>50', 3.954703957113655)	('>100', 10.874551166013955)	('>500', 5.728339567348187)	('>1k', 7.458373856302419)	('>5k', 0.07829944858524544)	('>10k+', 0.0)
SRR10215670_1_val_1	(1.0, 28.321963081257863)	(2.0, 2.97679206217901)	(3.0, 0.7216886874705107)	(4.0, 0.48423074748963874)	(5.0, 0.41256555908734843)	(6.0, 0.37120871363138946)	(7.0, 0.3290539818727433)	(8.0, 0.3109463122450752)	(9.0, 0.2729005994642296)	('>10', 7.591114160977175)	('>50', 5.7440354532664)	('>100', 18.186025761782638)	('>500', 8.811487320520774)	('>1k', 19.264624030007315)	('>5k', 4.792275561440478)	('>10k+', 1.4090879673071004)
SRR10215670_2_val_2	(1.0, 28.670252961349203)	(2.0, 2.846208566236852)	(3.0, 0.7355814430501051)	(4.0, 0.48236933989569397)	(5.0, 0.45937688753783346)	(6.0, 0.3422235764753568)	(7.0, 0.32616998065012587)	(8.0, 0.30436613110446187)	(9.0, 0.2810852455359002)	('>10', 7.652988813815477)	('>50', 5.768163833081876)	('>100', 18.189288171791908)	('>500', 8.84070681329578)	('>1k', 19.611602696446077)	('>5k', 4.499429747917396)	('>10k+', 0.9901857918159205)
SRR10215671_1_val_1	(1.0, 35.32887052568881)	(2.0, 11.433218525133338)	(3.0, 3.136147562814868)	(4.0, 1.1969749145151836)	(5.0, 0.684805869873783)	(6.0, 0.5578879791687026)	(7.0, 0.4593315206780902)	(8.0, 0.41178467329648205)	(9.0, 0.3283191818181077)	('>10', 6.620491538126514)	('>50', 3.8394889503204035)	('>100', 10.34814253048552)	('>500', 6.477181351879476)	('>1k', 16.636779826468995)	('>5k', 2.2869756109573802)	('>10k+', 0.25359943877460045)
SRR10215671_2_val_2	(1.0, 35.92712374879669)	(2.0, 11.460851231160797)	(3.0, 3.0524867519305148)	(4.0, 1.2242116375536887)	(5.0, 0.7019487520628356)	(6.0, 0.5215070028255975)	(7.0, 0.4392234316073375)	(8.0, 0.4170828508563435)	(9.0, 0.3791801781148579)	('>10', 6.728297234311069)	('>50', 3.821363293807923)	('>100', 10.399331657029936)	('>500', 6.58930541560529)	('>1k', 16.290790343351382)	('>5k', 1.8960943043873888)	('>10k+', 0.15120216659814942)
SRR10215672_1_val_1	(1.0, 35.67051550663027)	(2.0, 11.225469934132605)	(3.0, 2.7679676423020396)	(4.0, 0.9379037104287502)	(5.0, 0.5835731620062647)	(6.0, 0.4517948984691947)	(7.0, 0.41603457183798975)	(8.0, 0.35431394801318333)	(9.0, 0.3403791858097135)	('>10', 6.775201991358439)	('>50', 3.5092394427123494)	('>100', 9.720369613383372)	('>500', 6.953851695877103)	('>1k', 18.151411039788826)	('>5k', 1.9808863058790316)	('>10k+', 0.16108735137089078)
SRR10215672_2_val_2	(1.0, 36.44519906188055)	(2.0, 11.275548895791848)	(3.0, 2.7249155862200185)	(4.0, 0.9737202951712616)	(5.0, 0.5519921099592201)	(6.0, 0.4960047385433918)	(7.0, 0.43369560025848947)	(8.0, 0.3742781356227661)	(9.0, 0.34784573032216437)	('>10', 6.887394021538612)	('>50', 3.495763299766975)	('>100', 9.82966248389437)	('>500', 7.006409465683629)	('>1k', 17.541756736784112)	('>5k', 1.533046833448021)	('>10k+', 0.0827670051147152)
