Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_sequence_quality_scores
SRR4787024_1	pass	0.0	fail	99.0299776756	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	101302784.0	pass	fail	warn	55.0	29.4572703356	SRR4787024_1.fastq	pass
SRR4787024_2	pass	0.0	fail	99.0235751073	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	101302784.0	pass	warn	warn	56.0	33.3233880953	SRR4787024_2.fastq	pass
SRR4787025_1	pass	0.0	warn	99.2212375322	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	81418179.0	pass	fail	warn	46.0	55.9883526008	SRR4787025_1.fastq	pass
SRR4787025_2	pass	0.0	warn	99.1959937596	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	81418179.0	pass	fail	pass	47.0	60.621804569	SRR4787025_2.fastq	pass
SRR4787026_1	pass	0.0	fail	99.2028917648	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	79149728.0	pass	fail	warn	48.0	44.9623483742	SRR4787026_1.fastq	pass
SRR4787026_2	pass	0.0	warn	99.2098401399	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	79149728.0	pass	warn	warn	49.0	50.3170827968	SRR4787026_2.fastq	pass
SRR4787027_1	pass	0.0	fail	99.1412829447	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	90209190.0	pass	fail	warn	53.0	34.5862868057	SRR4787027_1.fastq	pass
SRR4787027_2	pass	0.0	fail	99.0988175373	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	90209190.0	pass	warn	warn	53.0	35.5122333185	SRR4787027_2.fastq	pass
SRR4787028_1	pass	0.0	warn	99.2055381819	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	85581588.0	pass	fail	warn	49.0	63.6979902262	SRR4787028_1.fastq	pass
SRR4787028_2	pass	0.0	fail	99.1883482695	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	85581588.0	pass	warn	warn	49.0	47.0021359456	SRR4787028_2.fastq	pass
SRR4787029_1	pass	0.0	warn	98.6574300855	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	72798220.0	pass	fail	warn	49.0	54.2311871533	SRR4787029_1.fastq	pass
SRR4787029_2	pass	0.0	warn	98.6129392999	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	72798220.0	pass	warn	warn	49.0	53.2422735811	SRR4787029_2.fastq	pass
SRR4787030_1	pass	0.0	warn	99.3378415667	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	94227745.0	pass	fail	warn	48.0	50.3839926127	SRR4787030_1.fastq	pass
SRR4787030_2	pass	0.0	warn	99.3127196454	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	94227745.0	pass	fail	warn	48.0	56.0693282193	SRR4787030_2.fastq	pass
SRR4787031_1	pass	0.0	warn	99.1208214017	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	94432922.0	pass	fail	warn	48.0	66.3993166146	SRR4787031_1.fastq	pass
SRR4787031_2	pass	0.0	warn	99.1159621429	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	94432922.0	pass	warn	warn	49.0	52.1128361048	SRR4787031_2.fastq	pass
SRR4787032_1	pass	0.0	fail	99.1651238232	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	78615452.0	pass	fail	warn	49.0	42.4035550557	SRR4787032_1.fastq	pass
SRR4787032_2	pass	0.0	fail	99.1549591548	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	78615452.0	pass	warn	warn	50.0	46.3804340777	SRR4787032_2.fastq	pass
SRR4787033_1	pass	0.0	pass	99.1840729907	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	97220939.0	pass	fail	warn	46.0	70.5111355427	SRR4787033_1.fastq	pass
SRR4787033_2	pass	0.0	warn	99.1754842442	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	97220939.0	pass	fail	warn	47.0	57.9019242868	SRR4787033_2.fastq	pass
SRR4787034_1	pass	0.0	fail	99.3859704961	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	pass	76622253.0	pass	fail	warn	50.0	43.2693111282	SRR4787034_1.fastq	pass
SRR4787034_2	pass	0.0	fail	99.3615050709	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	pass	76622253.0	pass	warn	warn	50.0	47.7881169418	SRR4787034_2.fastq	pass
SRR4787035_1	pass	0.0	warn	99.0008712112	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	89523640.0	pass	fail	warn	47.0	66.3184893052	SRR4787035_1.fastq	pass
SRR4787035_2	pass	0.0	warn	99.0000664406	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	89523640.0	pass	warn	warn	48.0	50.8678143429	SRR4787035_2.fastq	pass
SRR4787036_1	pass	0.0	warn	99.1651543362	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	70193101.0	pass	fail	warn	48.0	54.4173860717	SRR4787036_1.fastq	pass
SRR4787036_2	pass	0.0	warn	99.1405040219	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	70193101.0	pass	warn	warn	48.0	58.6771697744	SRR4787036_2.fastq	pass
SRR4787037_1	pass	0.0	fail	99.0820027084	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	pass	75599003.0	pass	fail	warn	51.0	40.0893840304	SRR4787037_1.fastq	pass
SRR4787037_2	pass	0.0	fail	99.0735242368	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	75599003.0	pass	warn	warn	52.0	44.6553006942	SRR4787037_2.fastq	pass
SRR4787038_1	pass	0.0	warn	99.1483638058	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	89780846.0	pass	fail	warn	48.0	67.228275705	SRR4787038_1.fastq	pass
SRR4787038_2	pass	0.0	warn	99.13639495	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	89780846.0	pass	warn	warn	49.0	51.482343865	SRR4787038_2.fastq	pass
SRR4787039_1	pass	0.0	fail	99.2642796522	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	90730939.0	pass	fail	warn	49.0	40.4138339207	SRR4787039_1.fastq	pass
SRR4787039_2	pass	0.0	fail	99.2428363383	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	90730939.0	pass	warn	warn	49.0	43.8400330339	SRR4787039_2.fastq	pass
SRR4787040_1	pass	0.0	warn	99.1107607147	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	79287986.0	pass	fail	warn	48.0	55.9343793388	SRR4787040_1.fastq	pass
SRR4787040_2	pass	0.0	warn	99.0433222002	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	79287986.0	pass	warn	warn	48.0	53.7586624311	SRR4787040_2.fastq	pass
SRR4787041_1	pass	0.0	fail	99.031897326	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	warn	85733989.0	pass	fail	warn	53.0	37.4671964797	SRR4787041_1.fastq	pass
SRR4787041_2	pass	0.0	fail	98.9875063436	Sanger / Illumina 1.9	pass	warn	35-101	Conventional base calls	pass	fail	85733989.0	pass	warn	warn	54.0	37.6082355833	SRR4787041_2.fastq	pass
