Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR10215672_1	(2.0, 226.0)	(3.0, 377.0)	(4.0, 804.0)	(5.0, 2133.0)	(6.0, 4360.0)	(7.0, 10724.0)	(8.0, 22626.0)	(9.0, 37680.0)	(10.0, 47872.0)	(11.0, 62644.0)	(12.0, 74160.0)	(13.0, 89049.0)	(14.0, 104669.0)	(15.0, 113875.0)	(16.0, 128576.0)	(17.0, 147923.0)	(18.0, 152108.0)	(19.0, 165752.0)	(20.0, 183216.0)	(21.0, 185314.0)	(22.0, 193612.0)	(23.0, 209632.0)	(24.0, 236898.0)	(25.0, 288999.0)	(26.0, 356400.0)	(27.0, 449899.0)	(28.0, 558144.0)	(29.0, 647264.0)	(30.0, 798710.0)	(31.0, 994687.0)	(32.0, 1254621.0)	(33.0, 1645313.0)	(34.0, 2281161.0)	(35.0, 3314427.0)	(36.0, 5400073.0)	(37.0, 10061909.0)	(38.0, 12562629.0)	(39.0, 2338803.0)	(40.0, 10139.0)
SRR10215672_2	(2.0, 434063.0)	(3.0, 69938.0)	(4.0, 62006.0)	(5.0, 67123.0)	(6.0, 65786.0)	(7.0, 62914.0)	(8.0, 65325.0)	(9.0, 72110.0)	(10.0, 79600.0)	(11.0, 87025.0)	(12.0, 94568.0)	(13.0, 100553.0)	(14.0, 104001.0)	(15.0, 109800.0)	(16.0, 119916.0)	(17.0, 133288.0)	(18.0, 142043.0)	(19.0, 154978.0)	(20.0, 176552.0)	(21.0, 208539.0)	(22.0, 251754.0)	(23.0, 303255.0)	(24.0, 360433.0)	(25.0, 419209.0)	(26.0, 476958.0)	(27.0, 554578.0)	(28.0, 638009.0)	(29.0, 734548.0)	(30.0, 864694.0)	(31.0, 1055861.0)	(32.0, 1328639.0)	(33.0, 1714514.0)	(34.0, 2328201.0)	(35.0, 3376997.0)	(36.0, 5425134.0)	(37.0, 9299676.0)	(38.0, 10863931.0)	(39.0, 2713162.0)	(40.0, 17727.0)
SRR10215673_1	(2.0, 209.0)	(3.0, 402.0)	(4.0, 802.0)	(5.0, 2195.0)	(6.0, 4720.0)	(7.0, 11203.0)	(8.0, 23830.0)	(9.0, 38709.0)	(10.0, 48889.0)	(11.0, 64010.0)	(12.0, 76020.0)	(13.0, 90506.0)	(14.0, 106639.0)	(15.0, 113746.0)	(16.0, 128675.0)	(17.0, 146279.0)	(18.0, 148892.0)	(19.0, 159165.0)	(20.0, 175817.0)	(21.0, 176575.0)	(22.0, 182761.0)	(23.0, 203022.0)	(24.0, 232720.0)	(25.0, 287988.0)	(26.0, 358765.0)	(27.0, 454798.0)	(28.0, 573674.0)	(29.0, 659599.0)	(30.0, 815336.0)	(31.0, 1004001.0)	(32.0, 1269369.0)	(33.0, 1657808.0)	(34.0, 2299122.0)	(35.0, 3338683.0)	(36.0, 5439322.0)	(37.0, 10031825.0)	(38.0, 12201269.0)	(39.0, 2120538.0)	(40.0, 8447.0)
SRR10215673_2	(2.0, 430100.0)	(3.0, 70930.0)	(4.0, 62118.0)	(5.0, 67212.0)	(6.0, 66078.0)	(7.0, 63240.0)	(8.0, 65906.0)	(9.0, 73029.0)	(10.0, 80188.0)	(11.0, 87469.0)	(12.0, 94401.0)	(13.0, 99861.0)	(14.0, 102720.0)	(15.0, 108534.0)	(16.0, 118033.0)	(17.0, 131108.0)	(18.0, 139186.0)	(19.0, 150829.0)	(20.0, 173395.0)	(21.0, 205085.0)	(22.0, 246720.0)	(23.0, 297435.0)	(24.0, 356745.0)	(25.0, 414323.0)	(26.0, 475210.0)	(27.0, 552942.0)	(28.0, 640196.0)	(29.0, 737274.0)	(30.0, 871738.0)	(31.0, 1064244.0)	(32.0, 1339236.0)	(33.0, 1724948.0)	(34.0, 2345566.0)	(35.0, 3393353.0)	(36.0, 5418256.0)	(37.0, 9212228.0)	(38.0, 10590693.0)	(39.0, 2569395.0)	(40.0, 16406.0)
SRR10215674_1	(2.0, 570.0)	(3.0, 1291.0)	(4.0, 2424.0)	(5.0, 4263.0)	(6.0, 8151.0)	(7.0, 19032.0)	(8.0, 39686.0)	(9.0, 57891.0)	(10.0, 78233.0)	(11.0, 100039.0)	(12.0, 124412.0)	(13.0, 152573.0)	(14.0, 182479.0)	(15.0, 215456.0)	(16.0, 251111.0)	(17.0, 289146.0)	(18.0, 329515.0)	(19.0, 364023.0)	(20.0, 393109.0)	(21.0, 424170.0)	(22.0, 476197.0)	(23.0, 568904.0)	(24.0, 719580.0)	(25.0, 932402.0)	(26.0, 1211933.0)	(27.0, 1549256.0)	(28.0, 1938421.0)	(29.0, 2380187.0)	(30.0, 2873402.0)	(31.0, 3418752.0)	(32.0, 4060241.0)	(33.0, 4843753.0)	(34.0, 5880891.0)	(35.0, 7248679.0)	(36.0, 9346167.0)	(37.0, 12127706.0)	(38.0, 9891613.0)	(39.0, 1613383.0)	(40.0, 8114.0)
SRR10215674_2	(2.0, 1217944.0)	(3.0, 238996.0)	(4.0, 180991.0)	(5.0, 156310.0)	(6.0, 143396.0)	(7.0, 148922.0)	(8.0, 167869.0)	(9.0, 191234.0)	(10.0, 211625.0)	(11.0, 226499.0)	(12.0, 230765.0)	(13.0, 234803.0)	(14.0, 251321.0)	(15.0, 282092.0)	(16.0, 325625.0)	(17.0, 379607.0)	(18.0, 445960.0)	(19.0, 525429.0)	(20.0, 626411.0)	(21.0, 759038.0)	(22.0, 934412.0)	(23.0, 1152887.0)	(24.0, 1399433.0)	(25.0, 1670275.0)	(26.0, 1956621.0)	(27.0, 2238879.0)	(28.0, 2490961.0)	(29.0, 2735333.0)	(30.0, 2990670.0)	(31.0, 3343806.0)	(32.0, 3801771.0)	(33.0, 4362135.0)	(34.0, 5119421.0)	(35.0, 6177841.0)	(36.0, 7754222.0)	(37.0, 9600437.0)	(38.0, 7881810.0)	(39.0, 1562644.0)	(40.0, 8760.0)
SRR10215675_1	(2.0, 686.0)	(3.0, 1387.0)	(4.0, 3046.0)	(5.0, 5835.0)	(6.0, 13805.0)	(7.0, 32829.0)	(8.0, 70907.0)	(9.0, 114163.0)	(10.0, 151086.0)	(11.0, 204965.0)	(12.0, 251284.0)	(13.0, 303364.0)	(14.0, 352133.0)	(15.0, 390879.0)	(16.0, 441643.0)	(17.0, 497346.0)	(18.0, 553448.0)	(19.0, 607065.0)	(20.0, 647795.0)	(21.0, 656557.0)	(22.0, 678548.0)	(23.0, 742510.0)	(24.0, 867159.0)	(25.0, 1075131.0)	(26.0, 1363831.0)	(27.0, 1726258.0)	(28.0, 2150141.0)	(29.0, 2643455.0)	(30.0, 3206079.0)	(31.0, 3860826.0)	(32.0, 4663125.0)	(33.0, 5726607.0)	(34.0, 7168008.0)	(35.0, 9232140.0)	(36.0, 12672113.0)	(37.0, 18376221.0)	(38.0, 17287220.0)	(39.0, 2618094.0)	(40.0, 11954.0)
SRR10215675_2	(2.0, 1239483.0)	(3.0, 263021.0)	(4.0, 214107.0)	(5.0, 191847.0)	(6.0, 181110.0)	(7.0, 190118.0)	(8.0, 214362.0)	(9.0, 244014.0)	(10.0, 271911.0)	(11.0, 295302.0)	(12.0, 305639.0)	(13.0, 314524.0)	(14.0, 333567.0)	(15.0, 368911.0)	(16.0, 417197.0)	(17.0, 473652.0)	(18.0, 542938.0)	(19.0, 629391.0)	(20.0, 736587.0)	(21.0, 870694.0)	(22.0, 1046592.0)	(23.0, 1255289.0)	(24.0, 1494501.0)	(25.0, 1761939.0)	(26.0, 2055523.0)	(27.0, 2352735.0)	(28.0, 2644165.0)	(29.0, 2944118.0)	(30.0, 3325079.0)	(31.0, 3838832.0)	(32.0, 4518622.0)	(33.0, 5379350.0)	(34.0, 6613668.0)	(35.0, 8457614.0)	(36.0, 11450754.0)	(37.0, 15865315.0)	(38.0, 14868115.0)	(39.0, 3179562.0)	(40.0, 19495.0)
SRR10215676_1	(2.0, 348889.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 1.0)	(9.0, 6.0)	(10.0, 29.0)	(11.0, 126.0)	(12.0, 290.0)	(13.0, 296.0)	(14.0, 641.0)	(15.0, 1456.0)	(16.0, 71.0)	(17.0, 115.0)	(18.0, 233.0)	(19.0, 495.0)	(20.0, 1656.0)	(21.0, 4816.0)	(22.0, 11419.0)	(23.0, 24808.0)	(24.0, 49183.0)	(25.0, 92905.0)	(26.0, 165564.0)	(27.0, 285038.0)	(28.0, 450292.0)	(29.0, 675939.0)	(30.0, 899244.0)	(31.0, 1234244.0)	(32.0, 1749407.0)	(33.0, 2831629.0)	(34.0, 7542600.0)	(35.0, 26802138.0)					
SRR10215676_2	(2.0, 346716.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 7.0)	(9.0, 11.0)	(10.0, 46.0)	(11.0, 149.0)	(12.0, 330.0)	(13.0, 306.0)	(14.0, 2368.0)	(15.0, 5967.0)	(16.0, 8385.0)	(17.0, 12537.0)	(18.0, 17144.0)	(19.0, 25121.0)	(20.0, 37785.0)	(21.0, 57984.0)	(22.0, 86963.0)	(23.0, 128004.0)	(24.0, 182643.0)	(25.0, 256437.0)	(26.0, 350259.0)	(27.0, 473052.0)	(28.0, 623100.0)	(29.0, 808051.0)	(30.0, 1005351.0)	(31.0, 1313776.0)	(32.0, 1840556.0)	(33.0, 2954996.0)	(34.0, 7695334.0)	(35.0, 24940151.0)					
SRR10215677_1	(2.0, 1053991.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 4.0)	(9.0, 25.0)	(10.0, 79.0)	(11.0, 259.0)	(12.0, 779.0)	(13.0, 659.0)	(14.0, 1326.0)	(15.0, 2935.0)	(16.0, 107.0)	(17.0, 245.0)	(18.0, 384.0)	(19.0, 630.0)	(20.0, 1796.0)	(21.0, 4765.0)	(22.0, 11454.0)	(23.0, 25482.0)	(24.0, 52392.0)	(25.0, 102188.0)	(26.0, 185970.0)	(27.0, 330084.0)	(28.0, 528157.0)	(29.0, 798509.0)	(30.0, 988359.0)	(31.0, 1313612.0)	(32.0, 1800491.0)	(33.0, 2804710.0)	(34.0, 7303997.0)	(35.0, 29038168.0)					
SRR10215677_2	(2.0, 1047596.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 1.0)	(8.0, 19.0)	(9.0, 36.0)	(10.0, 129.0)	(11.0, 395.0)	(12.0, 801.0)	(13.0, 727.0)	(14.0, 3463.0)	(15.0, 8663.0)	(16.0, 9617.0)	(17.0, 13274.0)	(18.0, 17772.0)	(19.0, 25768.0)	(20.0, 39804.0)	(21.0, 62465.0)	(22.0, 96717.0)	(23.0, 146588.0)	(24.0, 215560.0)	(25.0, 306766.0)	(26.0, 425970.0)	(27.0, 586672.0)	(28.0, 778268.0)	(29.0, 994846.0)	(30.0, 1197221.0)	(31.0, 1550062.0)	(32.0, 2166316.0)	(33.0, 3512426.0)	(34.0, 8831735.0)	(35.0, 24311879.0)					
SRR10215678_1	(2.0, 174.0)	(3.0, 214.0)	(4.0, 396.0)	(5.0, 696.0)	(6.0, 1339.0)	(7.0, 2827.0)	(8.0, 5970.0)	(9.0, 10024.0)	(10.0, 14279.0)	(11.0, 19302.0)	(12.0, 24918.0)	(13.0, 32396.0)	(14.0, 39492.0)	(15.0, 47197.0)	(16.0, 54742.0)	(17.0, 62354.0)	(18.0, 70643.0)	(19.0, 79474.0)	(20.0, 88066.0)	(21.0, 94120.0)	(22.0, 100307.0)	(23.0, 110686.0)	(24.0, 129144.0)	(25.0, 159203.0)	(26.0, 202453.0)	(27.0, 261826.0)	(28.0, 338490.0)	(29.0, 430928.0)	(30.0, 552697.0)	(31.0, 716239.0)	(32.0, 942438.0)	(33.0, 1302667.0)	(34.0, 2011365.0)	(35.0, 3262983.0)	(36.0, 6266137.0)	(37.0, 13579250.0)	(38.0, 16588707.0)	(39.0, 3422805.0)	(40.0, 20803.0)
SRR10215678_2	(2.0, 189321.0)	(3.0, 23300.0)	(4.0, 22921.0)	(5.0, 25862.0)	(6.0, 22440.0)	(7.0, 20390.0)	(8.0, 19267.0)	(9.0, 20786.0)	(10.0, 24001.0)	(11.0, 27546.0)	(12.0, 30671.0)	(13.0, 34561.0)	(14.0, 39007.0)	(15.0, 43838.0)	(16.0, 47442.0)	(17.0, 50577.0)	(18.0, 52751.0)	(19.0, 56142.0)	(20.0, 60889.0)	(21.0, 65974.0)	(22.0, 71253.0)	(23.0, 79832.0)	(24.0, 91491.0)	(25.0, 110115.0)	(26.0, 135213.0)	(27.0, 168191.0)	(28.0, 210513.0)	(29.0, 271148.0)	(30.0, 355841.0)	(31.0, 478260.0)	(32.0, 658107.0)	(33.0, 947210.0)	(34.0, 1532349.0)	(35.0, 2555123.0)	(36.0, 5119335.0)	(37.0, 12394752.0)	(38.0, 19870913.0)	(39.0, 5079947.0)	(40.0, 40472.0)
SRR10215679_1	(2.0, 55.0)	(3.0, 100.0)	(4.0, 182.0)	(5.0, 273.0)	(6.0, 578.0)	(7.0, 1242.0)	(8.0, 2661.0)	(9.0, 4583.0)	(10.0, 6751.0)	(11.0, 9116.0)	(12.0, 11873.0)	(13.0, 15447.0)	(14.0, 19146.0)	(15.0, 23268.0)	(16.0, 26872.0)	(17.0, 30761.0)	(18.0, 35012.0)	(19.0, 39185.0)	(20.0, 42845.0)	(21.0, 45527.0)	(22.0, 48055.0)	(23.0, 51948.0)	(24.0, 61061.0)	(25.0, 75058.0)	(26.0, 96988.0)	(27.0, 126714.0)	(28.0, 164182.0)	(29.0, 210166.0)	(30.0, 266226.0)	(31.0, 341918.0)	(32.0, 449385.0)	(33.0, 615631.0)	(34.0, 958024.0)	(35.0, 1589011.0)	(36.0, 3123974.0)	(37.0, 7383160.0)	(38.0, 10836602.0)	(39.0, 2645093.0)	(40.0, 18984.0)
SRR10215679_2	(2.0, 166041.0)	(3.0, 21633.0)	(4.0, 19062.0)	(5.0, 20050.0)	(6.0, 17937.0)	(7.0, 17006.0)	(8.0, 16895.0)	(9.0, 18444.0)	(10.0, 20548.0)	(11.0, 23340.0)	(12.0, 25251.0)	(13.0, 27632.0)	(14.0, 30567.0)	(15.0, 34914.0)	(16.0, 38332.0)	(17.0, 41366.0)	(18.0, 43213.0)	(19.0, 45494.0)	(20.0, 48082.0)	(21.0, 51810.0)	(22.0, 55939.0)	(23.0, 61741.0)	(24.0, 70275.0)	(25.0, 84885.0)	(26.0, 102890.0)	(27.0, 127740.0)	(28.0, 154472.0)	(29.0, 193714.0)	(30.0, 246564.0)	(31.0, 319637.0)	(32.0, 421366.0)	(33.0, 583285.0)	(34.0, 903264.0)	(35.0, 1462975.0)	(36.0, 2856456.0)	(37.0, 6857399.0)	(38.0, 11183099.0)	(39.0, 2943568.0)	(40.0, 20771.0)
SRR10215680_1	(2.0, 477095.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 5.0)	(9.0, 21.0)	(10.0, 113.0)	(11.0, 290.0)	(12.0, 663.0)	(13.0, 818.0)	(14.0, 1601.0)	(15.0, 2319.0)	(16.0, 109.0)	(17.0, 155.0)	(18.0, 283.0)	(19.0, 451.0)	(20.0, 1250.0)	(21.0, 3432.0)	(22.0, 8454.0)	(23.0, 19818.0)	(24.0, 43237.0)	(25.0, 85113.0)	(26.0, 156579.0)	(27.0, 272018.0)	(28.0, 432119.0)	(29.0, 637028.0)	(30.0, 852811.0)	(31.0, 1189912.0)	(32.0, 1736799.0)	(33.0, 2950978.0)	(34.0, 7677903.0)	(35.0, 18096262.0)					
SRR10215680_2	(2.0, 477613.0)	(3.0, 30.0)	(4.0, 40.0)	(5.0, 34.0)	(6.0, 45.0)	(7.0, 63.0)	(8.0, 95.0)	(9.0, 124.0)	(10.0, 260.0)	(11.0, 493.0)	(12.0, 811.0)	(13.0, 1010.0)	(14.0, 5190.0)	(15.0, 7611.0)	(16.0, 10123.0)	(17.0, 16097.0)	(18.0, 23696.0)	(19.0, 34079.0)	(20.0, 48165.0)	(21.0, 67076.0)	(22.0, 93037.0)	(23.0, 127935.0)	(24.0, 176557.0)	(25.0, 244104.0)	(26.0, 332495.0)	(27.0, 452808.0)	(28.0, 605584.0)	(29.0, 797560.0)	(30.0, 1015779.0)	(31.0, 1364271.0)	(32.0, 1954668.0)	(33.0, 3176345.0)	(34.0, 7509551.0)	(35.0, 16104287.0)					
SRR10215681_1	(2.0, 470107.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 3.0)	(9.0, 18.0)	(10.0, 69.0)	(11.0, 238.0)	(12.0, 611.0)	(13.0, 774.0)	(14.0, 1417.0)	(15.0, 2835.0)	(16.0, 107.0)	(17.0, 159.0)	(18.0, 254.0)	(19.0, 371.0)	(20.0, 1229.0)	(21.0, 3348.0)	(22.0, 8461.0)	(23.0, 20304.0)	(24.0, 44358.0)	(25.0, 88412.0)	(26.0, 161633.0)	(27.0, 282908.0)	(28.0, 444411.0)	(29.0, 662720.0)	(30.0, 870293.0)	(31.0, 1196828.0)	(32.0, 1716061.0)	(33.0, 2861586.0)	(34.0, 7773934.0)	(35.0, 24841315.0)					
SRR10215681_2	(2.0, 468985.0)	(3.0, 36.0)	(4.0, 55.0)	(5.0, 67.0)	(6.0, 63.0)	(7.0, 79.0)	(8.0, 102.0)	(9.0, 118.0)	(10.0, 210.0)	(11.0, 378.0)	(12.0, 836.0)	(13.0, 851.0)	(14.0, 3597.0)	(15.0, 8345.0)	(16.0, 11178.0)	(17.0, 17168.0)	(18.0, 23162.0)	(19.0, 32652.0)	(20.0, 46129.0)	(21.0, 64900.0)	(22.0, 93421.0)	(23.0, 133883.0)	(24.0, 190751.0)	(25.0, 267249.0)	(26.0, 362549.0)	(27.0, 488067.0)	(28.0, 638324.0)	(29.0, 816817.0)	(30.0, 1003014.0)	(31.0, 1304101.0)	(32.0, 1831358.0)	(33.0, 2964332.0)	(34.0, 7649291.0)	(35.0, 23032696.0)					
SRR10215682_1	(2.0, 472.0)	(3.0, 863.0)	(4.0, 1708.0)	(5.0, 3448.0)	(6.0, 7919.0)	(7.0, 18254.0)	(8.0, 38940.0)	(9.0, 62198.0)	(10.0, 81852.0)	(11.0, 109477.0)	(12.0, 134359.0)	(13.0, 162801.0)	(14.0, 188781.0)	(15.0, 209156.0)	(16.0, 235112.0)	(17.0, 263340.0)	(18.0, 290788.0)	(19.0, 317672.0)	(20.0, 339810.0)	(21.0, 347439.0)	(22.0, 362576.0)	(23.0, 398691.0)	(24.0, 469217.0)	(25.0, 583573.0)	(26.0, 742228.0)	(27.0, 936724.0)	(28.0, 1164317.0)	(29.0, 1432093.0)	(30.0, 1737974.0)	(31.0, 2094615.0)	(32.0, 2538148.0)	(33.0, 3123589.0)	(34.0, 3931554.0)	(35.0, 5093237.0)	(36.0, 7019076.0)	(37.0, 10145463.0)	(38.0, 9551447.0)	(39.0, 1526978.0)	(40.0, 6040.0)
SRR10215682_2	(2.0, 705472.0)	(3.0, 146136.0)	(4.0, 118280.0)	(5.0, 105884.0)	(6.0, 100006.0)	(7.0, 104186.0)	(8.0, 117754.0)	(9.0, 133882.0)	(10.0, 148693.0)	(11.0, 162228.0)	(12.0, 166893.0)	(13.0, 170683.0)	(14.0, 179681.0)	(15.0, 194291.0)	(16.0, 215450.0)	(17.0, 240223.0)	(18.0, 268250.0)	(19.0, 305882.0)	(20.0, 353654.0)	(21.0, 415732.0)	(22.0, 499702.0)	(23.0, 603935.0)	(24.0, 726274.0)	(25.0, 864922.0)	(26.0, 1016955.0)	(27.0, 1177505.0)	(28.0, 1339180.0)	(29.0, 1508121.0)	(30.0, 1716365.0)	(31.0, 2010926.0)	(32.0, 2392722.0)	(33.0, 2885375.0)	(34.0, 3599973.0)	(35.0, 4673625.0)	(36.0, 6436618.0)	(37.0, 9096901.0)	(38.0, 8753152.0)	(39.0, 2004748.0)	(40.0, 11670.0)
SRR10215683_1	(2.0, 256.0)	(3.0, 384.0)	(4.0, 759.0)	(5.0, 1598.0)	(6.0, 3608.0)	(7.0, 8082.0)	(8.0, 17921.0)	(9.0, 31510.0)	(10.0, 40747.0)	(11.0, 56972.0)	(12.0, 69349.0)	(13.0, 84224.0)	(14.0, 99296.0)	(15.0, 107463.0)	(16.0, 122084.0)	(17.0, 138372.0)	(18.0, 148576.0)	(19.0, 161796.0)	(20.0, 181253.0)	(21.0, 182655.0)	(22.0, 187885.0)	(23.0, 200739.0)	(24.0, 224326.0)	(25.0, 271966.0)	(26.0, 336112.0)	(27.0, 423038.0)	(28.0, 527724.0)	(29.0, 657097.0)	(30.0, 822274.0)	(31.0, 1028725.0)	(32.0, 1311372.0)	(33.0, 1736379.0)	(34.0, 2438641.0)	(35.0, 3582203.0)	(36.0, 6024422.0)	(37.0, 11882101.0)	(38.0, 16049116.0)	(39.0, 3294299.0)	(40.0, 15791.0)
SRR10215683_2	(2.0, 305048.0)	(3.0, 63684.0)	(4.0, 55264.0)	(5.0, 51991.0)	(6.0, 48505.0)	(7.0, 50415.0)	(8.0, 54332.0)	(9.0, 61218.0)	(10.0, 67721.0)	(11.0, 74456.0)	(12.0, 79106.0)	(13.0, 83485.0)	(14.0, 91229.0)	(15.0, 100721.0)	(16.0, 112625.0)	(17.0, 127304.0)	(18.0, 142668.0)	(19.0, 162537.0)	(20.0, 187529.0)	(21.0, 218992.0)	(22.0, 260701.0)	(23.0, 310317.0)	(24.0, 368482.0)	(25.0, 437177.0)	(26.0, 516459.0)	(27.0, 605238.0)	(28.0, 697196.0)	(29.0, 800020.0)	(30.0, 942874.0)	(31.0, 1154141.0)	(32.0, 1459039.0)	(33.0, 1886521.0)	(34.0, 2577749.0)	(35.0, 3742664.0)	(36.0, 6122881.0)	(37.0, 10925745.0)	(38.0, 13636495.0)	(39.0, 3861415.0)	(40.0, 27171.0)
SRR10215684_1	(2.0, 175.0)	(3.0, 347.0)	(4.0, 675.0)	(5.0, 1291.0)	(6.0, 2820.0)	(7.0, 7470.0)	(8.0, 19265.0)	(9.0, 33309.0)	(10.0, 47673.0)	(11.0, 62021.0)	(12.0, 76324.0)	(13.0, 92040.0)	(14.0, 107246.0)	(15.0, 121992.0)	(16.0, 136992.0)	(17.0, 153138.0)	(18.0, 172761.0)	(19.0, 196137.0)	(20.0, 222615.0)	(21.0, 248683.0)	(22.0, 284566.0)	(23.0, 333680.0)	(24.0, 404057.0)	(25.0, 492442.0)	(26.0, 603391.0)	(27.0, 742495.0)	(28.0, 908630.0)	(29.0, 1113678.0)	(30.0, 1360926.0)	(31.0, 1672165.0)	(32.0, 2057204.0)	(33.0, 2591971.0)	(34.0, 3425231.0)	(35.0, 4708627.0)	(36.0, 7285832.0)	(37.0, 12880811.0)	(38.0, 15372923.0)	(39.0, 3595299.0)	(40.0, 26785.0)
SRR10215684_2	(2.0, 621024.0)	(3.0, 115054.0)	(4.0, 88419.0)	(5.0, 78652.0)	(6.0, 73491.0)	(7.0, 73584.0)	(8.0, 82694.0)	(9.0, 95386.0)	(10.0, 108512.0)	(11.0, 121488.0)	(12.0, 131357.0)	(13.0, 142540.0)	(14.0, 160970.0)	(15.0, 184454.0)	(16.0, 211156.0)	(17.0, 244404.0)	(18.0, 281956.0)	(19.0, 327563.0)	(20.0, 386813.0)	(21.0, 460860.0)	(22.0, 559790.0)	(23.0, 680392.0)	(24.0, 811497.0)	(25.0, 952595.0)	(26.0, 1104485.0)	(27.0, 1257451.0)	(28.0, 1405012.0)	(29.0, 1556600.0)	(30.0, 1751306.0)	(31.0, 2015758.0)	(32.0, 2375694.0)	(33.0, 2840190.0)	(34.0, 3564092.0)	(35.0, 4716142.0)	(36.0, 6734522.0)	(37.0, 10445218.0)	(38.0, 11542590.0)	(39.0, 3233214.0)	(40.0, 26762.0)
SRR10215685_1	(2.0, 237.0)	(3.0, 460.0)	(4.0, 1032.0)	(5.0, 1983.0)	(6.0, 4707.0)	(7.0, 11790.0)	(8.0, 25968.0)	(9.0, 42664.0)	(10.0, 57009.0)	(11.0, 78828.0)	(12.0, 98136.0)	(13.0, 120923.0)	(14.0, 143810.0)	(15.0, 162966.0)	(16.0, 186461.0)	(17.0, 213331.0)	(18.0, 241020.0)	(19.0, 268894.0)	(20.0, 293618.0)	(21.0, 305960.0)	(22.0, 323010.0)	(23.0, 351430.0)	(24.0, 402565.0)	(25.0, 488219.0)	(26.0, 604427.0)	(27.0, 750928.0)	(28.0, 923322.0)	(29.0, 1119216.0)	(30.0, 1348734.0)	(31.0, 1611783.0)	(32.0, 1934623.0)	(33.0, 2352841.0)	(34.0, 2924640.0)	(35.0, 3741604.0)	(36.0, 5154530.0)	(37.0, 7643227.0)	(38.0, 7860079.0)	(39.0, 1507095.0)	(40.0, 8290.0)
SRR10215685_2	(2.0, 495798.0)	(3.0, 105913.0)	(4.0, 84865.0)	(5.0, 75764.0)	(6.0, 70950.0)	(7.0, 75013.0)	(8.0, 84287.0)	(9.0, 96446.0)	(10.0, 109229.0)	(11.0, 121156.0)	(12.0, 129371.0)	(13.0, 135741.0)	(14.0, 147803.0)	(15.0, 165251.0)	(16.0, 188552.0)	(17.0, 217433.0)	(18.0, 249952.0)	(19.0, 292850.0)	(20.0, 344847.0)	(21.0, 407874.0)	(22.0, 487907.0)	(23.0, 582138.0)	(24.0, 685616.0)	(25.0, 800046.0)	(26.0, 920446.0)	(27.0, 1037770.0)	(28.0, 1147668.0)	(29.0, 1264422.0)	(30.0, 1414568.0)	(31.0, 1623777.0)	(32.0, 1893570.0)	(33.0, 2243320.0)	(34.0, 2744875.0)	(35.0, 3480103.0)	(36.0, 4663690.0)	(37.0, 6494507.0)	(38.0, 6511700.0)	(39.0, 1701168.0)	(40.0, 13974.0)
SRR10215686_1	(2.0, 72.0)	(3.0, 111.0)	(4.0, 215.0)	(5.0, 457.0)	(6.0, 1013.0)	(7.0, 2400.0)	(8.0, 4832.0)	(9.0, 7373.0)	(10.0, 10272.0)	(11.0, 13844.0)	(12.0, 17247.0)	(13.0, 22188.0)	(14.0, 27325.0)	(15.0, 33056.0)	(16.0, 37776.0)	(17.0, 42353.0)	(18.0, 47116.0)	(19.0, 52002.0)	(20.0, 57146.0)	(21.0, 60146.0)	(22.0, 65125.0)	(23.0, 70664.0)	(24.0, 80583.0)	(25.0, 96682.0)	(26.0, 120417.0)	(27.0, 152817.0)	(28.0, 195917.0)	(29.0, 247299.0)	(30.0, 309319.0)	(31.0, 394959.0)	(32.0, 517010.0)	(33.0, 709072.0)	(34.0, 1106499.0)	(35.0, 1959888.0)	(36.0, 3623039.0)	(37.0, 6957456.0)	(38.0, 9150865.0)	(39.0, 2440382.0)	(40.0, 13636.0)
