Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR10215667_1 - nextera_transposase_sequence	(1, 0.04786987948248586)	(2, 0.04828885666751149)	(3, 0.04829811583182145)	(4, 0.04875875925624189)	(5, 0.04877264800270682)	(6, 0.04879116633132674)	(7, 0.04887681360119386)	(8, 0.0489115354673562)	(9, 0.04911986666433027)	(10, 0.049396484198090285)	(12, 0.049714767971245105)	(14, 0.050430038414189415)	(16, 0.05052610224390523)	(18, 0.05084207122598257)	(20, 0.05177145984359466)	(22, 0.0529577902708081)	(24, 0.05578877975857794)	(26, 0.11544904759425731)	(28, 0.26552042533452724)	(30, 0.3880041230132756)	(32, 0.5328961557176625)	(34, 0.8359902698220016)	(36, 1.6313802615403734)	(38, 2.8091853132154228)	(40, 4.369059363581063)	(42, 6.711720525643683)	(44, 8.95162811177654)	(46, 10.91033603521149)	(48, 12.416760402202357)	(50, 13.885615710005567)	(52, 15.893446972291464)	(54, 17.801559349750185)	(56, 19.346711328862995)	(58, 20.586717131581267)	(60, 21.709567885681174)	(62, 23.0005164530373)	(64, 24.3559643589766)	(66, 25.618047481596427)	(68, 26.711620758148243)	(70, 27.662696653365337)	(72, 28.70899495174158)	(74, 29.826480020123867)	(76, 30.843783245463477)	(78, 31.73405652344815)	(80, 32.526793764591716)	(82, 33.364801374837754)	(84, 34.23303089739149)	(86, 35.038756431270855)	(88, 35.74678852251584)
SRR10215667_2 - nextera_transposase_sequence	(1, 0.04711062800906926)	(2, 0.04751803123870744)	(3, 0.047536549567327356)	(4, 0.047983304245282854)	(5, 0.047997192991747796)	(6, 0.04801108173821273)	(7, 0.04809672900807985)	(8, 0.04813839524747466)	(9, 0.04832820811582881)	(10, 0.048605983045127574)	(12, 0.04891385025843369)	(14, 0.05013143036519324)	(16, 0.05025527168783894)	(18, 0.05056545369222255)	(20, 0.05148095356336971)	(22, 0.05265455263965696)	(24, 0.05500638037438644)	(26, 0.11411920012023952)	(28, 0.26292901672327756)	(30, 0.3845076310907275)	(32, 0.5282480552340632)	(34, 0.8293352454742189)	(36, 1.619816722712774)	(38, 2.7908510104861657)	(40, 4.343432311562175)	(42, 6.676880605136387)	(44, 8.91093408463427)	(46, 10.865758946036735)	(48, 12.367587295343245)	(50, 13.832949583410521)	(52, 15.836267003095315)	(54, 17.737753291094723)	(56, 19.282049954904398)	(58, 20.522319643805503)	(60, 21.647408800877344)	(62, 22.943844580482658)	(64, 24.306447505642478)	(66, 25.573162525208364)	(68, 26.67056099401573)	(70, 27.626719013043456)	(72, 28.677442034564322)	(74, 29.795356496691483)	(76, 30.81328818780863)	(78, 31.704612380942482)	(80, 32.499508164765814)	(82, 33.340243756296665)	(84, 34.21024062183807)	(86, 35.01845224133466)	(88, 35.72791371606999)
SRR10215668_1 - nextera_transposase_sequence	(1, 0.02934768331727959)	(2, 0.029647494625267307)	(3, 0.02965518209470289)	(4, 0.029954993402690606)	(5, 0.02996268087212619)	(6, 0.02997959330488447)	(7, 0.030068767950337225)	(8, 0.030087217876982625)	(9, 0.03025019222901697)	(10, 0.030420854050486903)	(12, 0.030604584569997324)	(14, 0.030955133176259884)	(16, 0.030988189294832887)	(18, 0.03112656374467337)	(20, 0.0315347683717028)	(22, 0.0321220910365813)	(24, 0.03399706483191986)	(26, 0.09740869396520888)	(28, 0.24390034278272466)	(30, 0.34687937710095657)	(32, 0.46956677681119124)	(34, 0.7737837735324394)	(36, 1.6782014839306751)	(38, 3.0450581494794298)	(40, 4.762928513191598)	(42, 7.301308627159562)	(44, 9.788850737003076)	(46, 12.128382154068603)	(48, 13.997224423785344)	(50, 15.803419198830692)	(52, 18.187755494007625)	(54, 20.419422489928607)	(56, 22.362104441068006)	(58, 23.96393475989089)	(60, 25.43770875034972)	(62, 27.074223393772066)	(64, 28.793754250882316)	(66, 30.52443501366194)	(68, 32.1019821540317)	(70, 33.46478367945319)	(72, 34.947047711156685)	(74, 36.52632530089639)	(76, 37.968037162580245)	(78, 39.27381995845107)	(80, 40.471744483152904)	(82, 41.75166586309548)	(84, 43.01288209240741)	(86, 44.17042818389885)	(88, 45.211634419193004)
SRR10215668_2 - nextera_transposase_sequence	(1, 0.028797260505691886)	(2, 0.029081696874808438)	(3, 0.029087846850356903)	(4, 0.029383045676683272)	(5, 0.02939227064000597)	(6, 0.029407645578877133)	(7, 0.029495282730442773)	(8, 0.029513732657088173)	(9, 0.029664407058025588)	(10, 0.029833531385608403)	(12, 0.030012649423457473)	(14, 0.030507722455108986)	(16, 0.030534628598133523)	(18, 0.03065532186827217)	(20, 0.031053532785035337)	(22, 0.031614718053832855)	(24, 0.03326214275387818)	(26, 0.0958396814534065)	(28, 0.2404302190795027)	(30, 0.342225383104655)	(32, 0.46355825070033996)	(34, 0.7643789234249478)	(36, 1.6592134344247864)	(38, 3.0121219554296204)	(40, 4.714319875203467)	(42, 7.230865269733545)	(44, 9.699907484380331)	(46, 12.02394019431678)	(48, 13.879322473798759)	(50, 15.673811539134547)	(52, 18.044024415464428)	(54, 20.258783591108788)	(56, 22.193286843515672)	(58, 23.789921201747042)	(60, 25.262894157890692)	(62, 26.899926168006047)	(64, 28.623364565830407)	(66, 30.355381410797932)	(68, 31.933127656626077)	(70, 33.29874971458348)	(72, 34.78425401465407)	(74, 36.360182173960695)	(76, 37.799637763365205)	(78, 39.105755732903425)	(80, 40.30549680663288)	(82, 41.58768906504673)	(84, 42.85003073988403)	(86, 44.00963399819643)	(88, 45.051805779651694)
SRR10215669_1 - nextera_transposase_sequence	(1, 0.026167032209581536)	(2, 0.026353116759666607)	(3, 0.026361977928718274)	(4, 0.026539201309751674)	(5, 0.026548062478803345)	(6, 0.026553969924837793)	(7, 0.026615998108199482)	(8, 0.026630766723285598)	(9, 0.026766637982077873)	(10, 0.026899555517852922)	(12, 0.026973398593283505)	(14, 0.02711813102112745)	(16, 0.02717277489694608)	(18, 0.027440086830004793)	(20, 0.028088429032285315)	(22, 0.029077926243055136)	(24, 0.031268111860326235)	(26, 0.08515731144805738)	(28, 0.22585347678896517)	(30, 0.3487608452586454)	(32, 0.48192649376714236)	(34, 0.7084652342961033)	(36, 1.337741154500449)	(38, 2.377962650645043)	(40, 3.9009568822012137)	(42, 6.276887371410407)	(44, 8.629316563433063)	(46, 10.806031726884118)	(48, 12.487840260768845)	(50, 14.106498196545338)	(52, 16.305091586384968)	(54, 18.4076136582279)	(56, 20.209170553815383)	(58, 21.665701586899505)	(60, 22.989458339774913)	(62, 24.489841821634236)	(64, 26.107844030900907)	(66, 27.6811933324547)	(68, 29.050927737816203)	(70, 30.21969082908583)	(72, 31.514632537066714)	(74, 32.933252535224774)	(76, 34.22668341388234)	(78, 35.35851315254462)	(80, 36.38130325230306)	(82, 37.48992706608051)	(84, 38.633834578160204)	(86, 39.71764416486997)	(88, 40.67822885788569)
SRR10215669_2 - nextera_transposase_sequence	(1, 0.025697390249843025)	(2, 0.025883474799928096)	(3, 0.025883474799928096)	(4, 0.02603706839682371)	(5, 0.026040022119840932)	(6, 0.026051837011909825)	(7, 0.02610205030320262)	(8, 0.026119772641305963)	(9, 0.026282227407253243)	(10, 0.02640185318945079)	(12, 0.02648012684940721)	(14, 0.0266691651225095)	(16, 0.026714947829276463)	(18, 0.02697782917780934)	(20, 0.027612879626512356)	(22, 0.028590561945213283)	(24, 0.030562172059209858)	(26, 0.08402603553246085)	(28, 0.22376224089277105)	(30, 0.34616304586499747)	(32, 0.4788354226296181)	(34, 0.7050758371338395)	(36, 1.3343842482913746)	(38, 2.3749734829516127)	(40, 3.9002952482453557)	(42, 6.281560161223654)	(44, 8.64191419210152)	(46, 10.827332500422825)	(48, 12.518935579832664)	(50, 14.148147167949695)	(52, 16.36105429953079)	(54, 18.477594740813462)	(56, 20.290951759854757)	(58, 21.75709863822145)	(60, 23.088744785275857)	(62, 24.596425439849234)	(64, 26.222210709266285)	(66, 27.803156986420376)	(68, 29.179175437501023)	(70, 30.353701242377255)	(72, 31.65489302826258)	(74, 33.0791649754141)	(76, 34.37447589877213)	(78, 35.50734682479797)	(80, 36.5315399429896)	(82, 37.64110304068653)	(84, 38.78661442436457)	(86, 39.8714135082851)	(88, 40.8316836297995)
SRR10215670_1 - nextera_transposase_sequence	(1, 0.06545250677623755)	(2, 0.06640442607913856)	(3, 0.06642053548272611)	(4, 0.06707076959116925)	(5, 0.06707662755611019)	(6, 0.06709420145093298)	(7, 0.06726554692545515)	(8, 0.06731241064498258)	(9, 0.06769171387490776)	(10, 0.06804465626259874)	(12, 0.06863997194972069)	(14, 0.07008103132518927)	(16, 0.07018867143097884)	(18, 0.070403951642558)	(20, 0.07105638248785398)	(22, 0.07175201582458933)	(24, 0.07458580636476385)	(26, 0.19223644199276896)	(28, 0.46849074615081543)	(30, 0.6646110188994205)	(32, 0.8721513943003671)	(34, 1.3239103280886533)	(36, 2.6168334861310263)	(38, 4.626455955081945)	(40, 7.148848794926545)	(42, 10.556358169977024)	(44, 13.85582470414824)	(46, 16.968489523300633)	(48, 19.526936672865418)	(50, 21.93956223340127)	(52, 24.83044230315323)	(54, 27.56339456708021)	(56, 29.94380058819533)	(58, 31.942411547548538)	(60, 33.779062224460546)	(62, 35.71965663128441)	(64, 37.7091137881718)	(66, 39.616757142202935)	(68, 41.352517553428555)	(70, 42.84957394801311)	(72, 44.397078404423326)	(74, 46.04172402895774)	(76, 47.52515919056339)	(78, 48.87298978624271)	(80, 50.117572285346924)	(82, 51.40339778661774)	(84, 52.69306025492487)	(86, 53.890157357972285)	(88, 54.97409102653645)
SRR10215670_2 - nextera_transposase_sequence	(1, 0.06385474683859911)	(2, 0.06478030529926593)	(3, 0.06479787919408872)	(4, 0.06542907491647384)	(5, 0.06543346839017954)	(6, 0.06545104228500233)	(7, 0.06561652979458357)	(8, 0.06566485800534624)	(9, 0.06604269674403618)	(10, 0.06639490688610955)	(12, 0.06698070338020248)	(14, 0.0689262799862086)	(16, 0.06904197479379194)	(18, 0.06924920030357731)	(20, 0.06992213402616657)	(22, 0.07060971266110813)	(24, 0.0730019590938601)	(26, 0.18991961685863146)	(28, 0.4648529499224984)	(30, 0.6605338753005338)	(32, 0.8678794733671944)	(34, 1.3198961576128816)	(36, 2.6148080947527)	(38, 4.627594597017338)	(40, 7.15630525205073)	(42, 10.574675294101691)	(44, 13.887361790653351)	(46, 17.014582920438336)	(48, 19.589582482189332)	(50, 22.02011657379522)	(52, 24.932359177195515)	(54, 27.685760132240045)	(56, 30.083619959896666)	(58, 32.09668178651353)	(60, 33.945495795379756)	(62, 35.89655765330745)	(64, 37.89684179389691)	(66, 39.81519643682253)	(68, 41.56032519847993)	(70, 43.065508054928785)	(72, 44.62121659123878)	(74, 46.273905201637085)	(76, 47.759933977220335)	(78, 49.109920303997924)	(80, 50.356676840340825)	(82, 51.644631711867675)	(84, 52.93604058597282)	(86, 54.134165761867365)	(88, 55.2182934755202)
SRR10215671_1 - nextera_transposase_sequence	(1, 0.06979115073468714)	(2, 0.0702596169720984)	(3, 0.07026580815585273)	(4, 0.0706455340927852)	(5, 0.07065998018821198)	(6, 0.07067236255572065)	(7, 0.07078174013538055)	(8, 0.07082095096582466)	(9, 0.07108098068350668)	(10, 0.07131108634637609)	(12, 0.07149166253921083)	(14, 0.07183011391778107)	(16, 0.07192504540201419)	(18, 0.07218713884761432)	(20, 0.07284340432557372)	(22, 0.07362452534257884)	(24, 0.0757212729073799)	(26, 0.12827410434208353)	(28, 0.2869324748225194)	(30, 0.4336955175829619)	(32, 0.5790026002971769)	(34, 0.7652303120356612)	(36, 1.2978568185570414)	(38, 2.2702111193660226)	(40, 3.836706496615486)	(42, 6.454939532771999)	(44, 8.71928450553079)	(46, 10.592609790325243)	(48, 12.094997523526498)	(50, 13.57970942710913)	(52, 15.822828958230147)	(54, 17.998933052666338)	(56, 19.659366229156348)	(58, 20.9912374112597)	(60, 22.238591712068683)	(62, 23.72147308898795)	(64, 25.303531038467888)	(66, 26.78187118210335)	(68, 28.064733985471356)	(70, 29.13574376754169)	(72, 30.326401271256398)	(74, 31.656366600627372)	(76, 32.84692710912993)	(78, 33.90955196466898)	(80, 34.87277014198448)	(82, 35.8971623741126)	(84, 37.020904531946506)	(86, 38.11473398547136)	(88, 39.088650528314346)
SRR10215671_2 - nextera_transposase_sequence	(1, 0.06894914974409774)	(2, 0.06941142479775467)	(3, 0.06942999834901767)	(4, 0.06981797919762259)	(5, 0.06982623410929503)	(6, 0.06984068020472181)	(7, 0.06994386660062737)	(8, 0.06998101370315338)	(9, 0.07023072478124484)	(10, 0.07043297011721975)	(12, 0.0706083869902592)	(14, 0.07113360574541852)	(16, 0.07122647350173353)	(18, 0.07148959881129271)	(20, 0.07212935446590721)	(22, 0.072885710747895)	(24, 0.07448716361234935)	(26, 0.12631356281987782)	(28, 0.28276787188377084)	(30, 0.42793771669143144)	(32, 0.5717300231137527)	(34, 0.7564058114578174)	(36, 1.2863525672775302)	(38, 2.2548507924715206)	(40, 3.818341381872214)	(42, 6.436649744097738)	(44, 8.704602113257387)	(46, 10.584290903087336)	(48, 12.09488608221892)	(50, 13.588037601122668)	(52, 15.844435157668812)	(54, 18.031046722800063)	(56, 19.699762671289417)	(58, 21.03839875350834)	(60, 22.294233944196797)	(62, 23.789276869737492)	(64, 25.38607293214463)	(66, 26.878425788344067)	(68, 28.173675086676575)	(70, 29.258004168730395)	(72, 30.462090350008253)	(74, 31.803095591877167)	(76, 33.004445269935616)	(78, 34.0783091877167)	(80, 35.053675499422155)	(82, 36.09110223708106)	(84, 37.22977030708272)	(86, 38.34022618457983)	(88, 39.3288859996698)
