Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR10215672_1 - nextera_transposase_sequence	(1, 0.3999897380017922)	(2, 0.40200580414364956)	(3, 0.40201909688744203)	(4, 0.4029185725507322)	(5, 0.40294072712371964)	(6, 0.4030049753853832)	(7, 0.40341040407105344)	(8, 0.40351896147869193)	(9, 0.40424120055808255)	(10, 0.4046964770329745)	(12, 0.4052868964030899)	(14, 0.4061431706490546)	(16, 0.40628939083077165)	(18, 0.40665715674236325)	(20, 0.40770728350196805)	(22, 0.4088803681416532)	(24, 0.41175713944407266)	(26, 0.457486393547454)	(28, 0.6007522629567033)	(30, 0.7616808656801914)	(32, 0.9156573634002201)	(34, 1.1073043892994476)	(36, 1.5952677211770778)	(38, 2.4543500592679135)	(40, 4.026287907360564)	(42, 6.595045289264284)	(44, 8.742276472765118)	(46, 10.550953656886989)	(48, 11.966661887186788)	(50, 13.383463445663518)	(52, 15.497889245213194)	(54, 17.536802290463818)	(56, 19.136759027013692)	(58, 20.37580558458297)	(60, 21.508119163599293)	(62, 22.87993143071042)	(64, 24.4019694263348)	(66, 25.784483459927515)	(68, 26.915275019779603)	(70, 27.844536398722763)	(72, 28.885525504698897)	(74, 30.08498959444016)	(76, 31.179665877136763)	(78, 32.117778007988406)	(80, 32.95192094326728)	(82, 33.86754618253667)	(84, 34.89681662713109)	(86, 35.89992030557005)	(88, 36.78162024722377)
SRR10215672_2 - nextera_transposase_sequence	(1, 0.3912652671593371)	(2, 0.393250316899012)	(3, 0.39326804055740194)	(4, 0.3941497925623022)	(5, 0.39417637804988714)	(6, 0.39424284176884944)	(7, 0.3946527013691172)	(8, 0.39475239694756065)	(9, 0.3954480505393664)	(10, 0.3959000038283102)	(12, 0.396473807268685)	(14, 0.3979836414177792)	(16, 0.3981354002427432)	(18, 0.3985064893402829)	(20, 0.39954221562744585)	(22, 0.40068539159359795)	(24, 0.40286540157556233)	(26, 0.4473938778230243)	(28, 0.5876312171048901)	(30, 0.7457417581443755)	(32, 0.8972424823330574)	(34, 1.0860238142163592)	(36, 1.5687221118235235)	(38, 2.4204059302652023)	(40, 3.985142434408285)	(42, 6.551186988849691)	(44, 8.700727786584467)	(46, 10.515446522760012)	(48, 11.93832175742125)	(50, 13.365058534154198)	(52, 15.49436666810819)	(54, 17.544661625231114)	(56, 19.15413818179369)	(58, 20.40058104355483)	(60, 21.53919870631473)	(62, 22.919063052978142)	(64, 24.451429510529273)	(66, 25.84277324918613)	(68, 26.980395063890242)	(70, 27.915840891882848)	(72, 28.962821702123435)	(74, 30.16874384989054)	(76, 31.268695136415452)	(78, 32.21222738354847)	(80, 33.052632308882245)	(82, 33.975790102967366)	(84, 35.01420041664776)	(86, 36.0262467884731)	(88, 36.915202352780206)
SRR10215673_1 - nextera_transposase_sequence	(1, 0.38831896844187597)	(2, 0.39018432549204113)	(3, 0.39019552211299047)	(4, 0.3907867036991172)	(5, 0.39079342167168685)	(6, 0.3908180542377755)	(7, 0.3910554226019021)	(8, 0.3911270809759781)	(9, 0.3917048266169656)	(10, 0.39210566564695304)	(12, 0.3926095135896748)	(14, 0.3934459011745927)	(16, 0.39352539718333324)	(18, 0.3937929964240232)	(20, 0.39461370873961205)	(22, 0.39579719157396054)	(24, 0.3983063543287144)	(26, 0.44261922106003787)	(28, 0.5825960171827824)	(30, 0.74083674139814)	(32, 0.8961394722763828)	(34, 1.0864629941600663)	(36, 1.5616072794159304)	(38, 2.3870837572187416)	(40, 3.882710469042127)	(42, 6.334461430216052)	(44, 8.449841265504801)	(46, 10.188810858393424)	(48, 11.565681729779406)	(50, 12.964560679303471)	(52, 15.084654292011905)	(54, 17.132309126164195)	(56, 18.671518685033007)	(58, 19.89833132279343)	(60, 21.027890110987627)	(62, 22.424146811885347)	(64, 23.953335395004473)	(66, 25.307118833992853)	(68, 26.424850631478222)	(70, 27.37545382703863)	(72, 28.443610345946475)	(74, 29.670074768795374)	(76, 30.794193118870268)	(78, 31.765268216174505)	(80, 32.62814588659659)	(82, 33.56317570207852)	(84, 34.59304425598789)	(86, 35.58314913025768)	(88, 36.45401894871343)
SRR10215673_2 - nextera_transposase_sequence	(1, 0.3804790944531268)	(2, 0.38230862231625395)	(3, 0.38232429758558306)	(4, 0.38289532525400094)	(5, 0.3828998039023807)	(6, 0.38292891511684907)	(7, 0.3831573261842162)	(8, 0.38323122388248204)	(9, 0.3838067301992797)	(10, 0.3841952529462228)	(12, 0.3846957419026597)	(14, 0.3859923106085968)	(16, 0.38611771276322976)	(18, 0.3863763547071602)	(20, 0.387145562566382)	(22, 0.3883391223595849)	(24, 0.3901384193461487)	(26, 0.43344582951621863)	(28, 0.5705786839178231)	(30, 0.7262945701090977)	(32, 0.8794531480755361)	(34, 1.0674119436147125)	(36, 1.5376957757164549)	(38, 2.3562594597451243)	(40, 3.8452611309527676)	(42, 6.295923780570414)	(44, 8.415282894944568)	(46, 10.161057794046219)	(48, 11.546988971104433)	(50, 12.957165311166413)	(52, 15.095501578387655)	(54, 17.15736716384889)	(56, 18.70655403164568)	(58, 19.941518929119344)	(60, 21.078774274554135)	(62, 22.484825779458365)	(64, 24.025497617023163)	(66, 25.38908033866643)	(68, 26.51476845499843)	(70, 27.473294379542608)	(72, 28.55005886063633)	(74, 29.784938663790776)	(76, 30.916362809035135)	(78, 31.895474840856828)	(80, 32.76609049601703)	(82, 33.70810924229555)	(84, 34.74745237685228)	(86, 35.746679138209515)	(88, 36.625084282564195)
SRR10215674_1 - nextera_transposase_sequence	(1, 0.013553737493365286)	(2, 0.01377093185351576)	(3, 0.0137763279866872)	(4, 0.013892344849873168)	(5, 0.013896391949751747)	(6, 0.013900439049630328)	(7, 0.01393551391524469)	(8, 0.01394900424817329)	(9, 0.014050181745137797)	(10, 0.014145963108930864)	(12, 0.01423365027296677)	(14, 0.01438406748512067)	(16, 0.01440835008439215)	(18, 0.014498060798367346)	(20, 0.014809012972371596)	(22, 0.01518809132766528)	(24, 0.016864265194043937)	(26, 0.08129814236092024)	(28, 0.221314982343515)	(30, 0.3193451846357789)	(32, 0.42961786406074803)	(34, 0.625714692544183)	(36, 1.226366370056965)	(38, 2.3003445903191615)	(40, 3.887907204856304)	(42, 6.43242884473308)	(44, 8.792438479528858)	(46, 10.990613358896614)	(48, 12.82345855577487)	(50, 14.705698606671199)	(52, 17.335488593889785)	(54, 19.692964069644923)	(56, 21.64615787561252)	(58, 23.270250288170374)	(60, 24.78722675920855)	(62, 26.51646552467851)	(64, 28.30735241356558)	(66, 30.092632045570888)	(68, 31.727020280219847)	(70, 33.09687860002181)	(72, 34.601016995728486)	(74, 36.20161666800783)	(76, 37.662327658467404)	(78, 39.00077643611171)	(80, 40.22988201826982)	(82, 41.56291307821)	(84, 42.85733817789176)	(86, 44.028388112291644)	(88, 45.087985637651954)
SRR10215674_2 - nextera_transposase_sequence	(1, 0.013393202531514936)	(2, 0.01360904785837255)	(3, 0.013613094958251129)	(4, 0.013726413754851377)	(5, 0.013730460854729957)	(6, 0.013734507954608538)	(7, 0.01377362992010148)	(8, 0.01378846928632294)	(9, 0.013901788082923187)	(10, 0.013991498796898382)	(12, 0.014084582094105728)	(14, 0.014269399655227562)	(16, 0.014297729354377623)	(18, 0.014391487168231399)	(20, 0.014683552876135608)	(22, 0.01504172121538996)	(24, 0.016550614953453967)	(26, 0.08029041449115375)	(28, 0.21895957021418128)	(30, 0.3162741103445829)	(32, 0.4256962242784038)	(34, 0.6203205829226819)	(36, 1.2173386392611452)	(38, 2.2854836395650153)	(40, 3.865250190702719)	(42, 6.398138441978517)	(44, 8.750036339584327)	(46, 10.942179691099707)	(48, 12.768943445893749)	(50, 14.64627571367065)	(52, 17.269981560738437)	(54, 19.618533181261306)	(56, 21.56971557858925)	(58, 23.193640711018787)	(60, 24.714012024338448)	(62, 26.449351792875362)	(64, 28.24904719464817)	(66, 30.04179574947939)	(68, 31.68158821149955)	(70, 33.05765275896532)	(72, 34.56816668601405)	(74, 36.16924054349583)	(76, 37.63028879227862)	(78, 38.970448144138274)	(80, 40.20232261712998)	(82, 41.539221355520795)	(84, 42.836538108065795)	(86, 44.01066586192334)	(88, 45.072503457066446)
SRR10215675_1 - nextera_transposase_sequence	(1, 0.021556749489588318)	(2, 0.021859601498251304)	(3, 0.021863547452761572)	(4, 0.022034209985330618)	(5, 0.022039142428468453)	(6, 0.022043088382978717)	(7, 0.022101291212005155)	(8, 0.02211806151867379)	(9, 0.022238413131236933)	(10, 0.02234199443713144)	(12, 0.02246037307243945)	(14, 0.02264287346853929)	(16, 0.02267296137168008)	(18, 0.022777035921888372)	(20, 0.023126252896046993)	(22, 0.023622949920026847)	(24, 0.025681751685758626)	(26, 0.10791741665697688)	(28, 0.27703806750113547)	(30, 0.38795391634160137)	(32, 0.511917063770265)	(34, 0.7171683538433691)	(36, 1.347403383871047)	(38, 2.4726835626717163)	(40, 4.163338623970492)	(42, 6.993906943126948)	(44, 9.504120479145811)	(46, 11.765123805358574)	(48, 13.611098541601848)	(50, 15.515634695487682)	(52, 18.32609344397119)	(54, 20.802179405919382)	(56, 22.753129849732233)	(58, 24.35223038123948)	(60, 25.83911240567356)	(62, 27.566926027351208)	(64, 29.341222993159796)	(66, 31.08376982249015)	(68, 32.65574240998363)	(70, 33.935310889868674)	(72, 35.35642322425856)	(74, 36.87049978068878)	(76, 38.24730693783739)	(78, 39.49869242412149)	(80, 40.64375761883664)	(82, 41.896440830910294)	(84, 43.132560405682796)	(86, 44.25669132523235)	(88, 45.27084947906939)
SRR10215675_2 - nextera_transposase_sequence	(1, 0.02133577603701337)	(2, 0.021632709113910957)	(3, 0.02163764155704879)	(4, 0.0218092905782454)	(5, 0.021812250044128102)	(6, 0.02181619599863837)	(7, 0.021868479895899406)	(8, 0.02188525020256804)	(9, 0.021994750440227948)	(10, 0.022101291212005155)	(12, 0.022213750915547767)	(14, 0.02250772452656265)	(16, 0.022534852963820736)	(18, 0.022644846445794425)	(20, 0.02298518502230495)	(22, 0.023465604983929952)	(24, 0.025321683336696765)	(26, 0.10570472266534468)	(28, 0.2710772099690634)	(30, 0.3796674118700408)	(32, 0.5011317836050779)	(34, 0.7031276612072117)	(36, 1.3256133298210393)	(38, 2.439467010848603)	(40, 4.117289334835677)	(42, 6.9309773538415245)	(44, 9.428607734171461)	(46, 11.683653162318032)	(48, 13.530684427881432)	(50, 15.44145173718329)	(52, 18.26527395386013)	(54, 20.755044979294247)	(56, 22.71909500559255)	(58, 24.33267719015248)	(60, 25.83545055988803)	(62, 27.58374319222965)	(64, 29.385390555237528)	(66, 31.157254840090538)	(68, 32.75819221342232)	(70, 34.06017322168137)	(72, 35.50383323338724)	(74, 37.04037558857735)	(76, 38.43522512947984)	(78, 39.70349732809062)	(80, 40.86468963888923)	(82, 42.13425265786918)	(84, 43.389291111541155)	(86, 44.53113295466573)	(88, 45.561891245883146)
SRR10215678_1 - nextera_transposase_sequence	(1, 0.006425356525500996)	(2, 0.006503714531909545)	(3, 0.0065115503325504)	(4, 0.006627128392003009)	(5, 0.006636923142804078)	(6, 0.006638882092964291)	(7, 0.006656512644406215)	(8, 0.006666307395207283)	(9, 0.00671724009937284)	(10, 0.006821064457864167)	(12, 0.006852407660427587)	(14, 0.006948396218278059)	(16, 0.007011082623404898)	(18, 0.007229505566268728)	(20, 0.00780249848813124)	(22, 0.008748671415514466)	(24, 0.010924085568431802)	(26, 0.08319661330427662)	(28, 0.28291843846362597)	(30, 0.4600643425015922)	(32, 0.6454711393651799)	(34, 0.9484972217483194)	(36, 1.7964562238990704)	(38, 3.2113814377444365)	(40, 5.314669984187942)	(42, 8.484198451759411)	(44, 11.442605963189251)	(46, 14.055425282104984)	(48, 16.109732238742506)	(50, 18.116090951783555)	(52, 20.7964920922765)	(54, 23.291992824522282)	(56, 25.310116992225574)	(58, 26.939094731127334)	(60, 28.427955621394567)	(62, 30.10741746487519)	(64, 31.868723266574467)	(66, 33.508544774088094)	(68, 34.944229962256316)	(70, 36.159064088837134)	(72, 37.45851604706347)	(74, 38.860635603711515)	(76, 40.12595971172168)	(78, 41.25245596030274)	(80, 42.2794688839475)	(82, 43.36853449234228)	(84, 44.48647796452384)	(86, 45.526982177922)	(88, 46.44582873004532)
SRR10215678_2 - nextera_transposase_sequence	(1, 0.007483189612016404)	(2, 0.007573301319386235)	(3, 0.007575260269546449)	(4, 0.007700633079800127)	(5, 0.007710427830601195)	(6, 0.007714345730921623)	(7, 0.007731976282363546)	(8, 0.0077398120830044015)	(9, 0.0077985805878108124)	(10, 0.007892610195501071)	(12, 0.007922973922984383)	(14, 0.008014065105434322)	(16, 0.008076751510561161)	(18, 0.008288318127864243)	(20, 0.008866208425127288)	(22, 0.009794750801068591)	(24, 0.011879073771535988)	(26, 0.0832671355100443)	(28, 0.2810535179111025)	(30, 0.45716607573955614)	(32, 0.6415179779418685)	(34, 0.9441503113428054)	(36, 1.7906626288002383)	(38, 3.2022537094729207)	(40, 5.299825059873843)	(42, 8.45081500260413)	(44, 11.390947467989335)	(46, 13.98847032457904)	(48, 16.03270729791798)	(50, 18.03287572845276)	(52, 20.706480291364844)	(54, 23.201215074097973)	(56, 25.22080355704603)	(58, 26.85146403413541)	(60, 28.345651309888265)	(62, 30.027751859234698)	(64, 31.772442825150122)	(66, 33.39370719779605)	(68, 34.81470417766299)	(70, 36.026412799263184)	(72, 37.33169949054171)	(74, 38.748281976222614)	(76, 40.040390809773385)	(78, 41.19368059917076)	(80, 42.24033003922152)	(82, 43.341425560550164)	(84, 44.46808440199452)	(86, 45.50838684352617)	(88, 46.429660534898005)
SRR10215679_1 - nextera_transposase_sequence	(1, 0.019113164810930974)	(2, 0.01933782534121084)	(3, 0.019341229288639322)	(4, 0.019518234554920428)	(5, 0.01952163850234891)	(6, 0.019528446397205877)	(7, 0.019562485871490704)	(8, 0.019582909556061602)	(9, 0.019685027978916084)	(10, 0.0199199003514814)	(12, 0.01997266153662288)	(14, 0.020134349039475814)	(16, 0.02024667930461575)	(18, 0.020529206941179823)	(20, 0.02138529971944325)	(22, 0.022775812243978476)	(24, 0.02587000045646935)	(26, 0.12625241012242738)	(28, 0.3991043261210382)	(30, 0.633828626973213)	(32, 0.8662331376528768)	(34, 1.2521556773571154)	(36, 2.325023741682327)	(38, 4.082071623342869)	(40, 6.655784360202722)	(42, 10.386151625366175)	(44, 13.824701881433226)	(46, 16.84248679191809)	(48, 19.19539226698712)	(50, 21.440858949370945)	(52, 24.359217959417254)	(54, 27.053784445777957)	(56, 29.21768063395934)	(58, 30.951825055347335)	(60, 32.52918365817941)	(62, 34.28170428976007)	(64, 36.093291919093474)	(66, 37.7650555999071)	(68, 39.21551163865791)	(70, 40.44116418133686)	(72, 41.74187546678756)	(74, 43.1333325867342)	(76, 44.380886127168)	(78, 45.48603042101009)	(80, 46.49073954400107)	(82, 47.54659467907873)	(84, 48.623416428342125)	(86, 49.626935871706856)	(88, 50.51071635835356)
SRR10215679_2 - nextera_transposase_sequence	(1, 0.0219792885457135)	(2, 0.02224479644513516)	(3, 0.02225841223484909)	(4, 0.022462649080558058)	(5, 0.022469456975415025)	(6, 0.02247966881770047)	(7, 0.022520516186842265)	(8, 0.022540939871413163)	(9, 0.02263625039941068)	(10, 0.022859208955976304)	(12, 0.022915374088546273)	(14, 0.023077061591399203)	(16, 0.023175776066825207)	(18, 0.023458303703389277)	(20, 0.024309290560509983)	(22, 0.025645339926189482)	(24, 0.028645919584397078)	(26, 0.1274114542218258)	(28, 0.3964713727851067)	(30, 0.628935452544769)	(32, 0.8590065572622079)	(34, 1.2429224699573558)	(36, 2.30882946179132)	(38, 4.055185544578998)	(40, 6.613155024582117)	(42, 10.307942529249354)	(44, 13.713326423546985)	(46, 16.702286707207453)	(48, 19.035214414818718)	(50, 21.26620581076292)	(52, 24.166421781015416)	(54, 26.850924496803813)	(56, 29.009437342127047)	(58, 30.740169306217986)	(60, 32.31797212418948)	(62, 34.06756706295536)	(64, 35.85612528596137)	(66, 37.50422642622589)	(68, 38.935528452796625)	(70, 40.15426417430089)	(72, 41.456371078197286)	(74, 42.8577694266088)	(76, 44.127766894412304)	(78, 45.25576018536809)	(80, 46.276610827064935)	(82, 47.34125325242922)	(84, 48.42438592022502)	(86, 49.42474309642869)	(88, 50.308203612017124)
SRR10215682_1 - nextera_transposase_sequence	(1, 0.018785050541359902)	(2, 0.018988025365530264)	(3, 0.01899700655244046)	(4, 0.019094003371070544)	(5, 0.01909939208321666)	(6, 0.019104780795362777)	(7, 0.019147890492531704)	(8, 0.019158667916823933)	(9, 0.019248479785925865)	(10, 0.019315838687752315)	(12, 0.019385891945651823)	(14, 0.019520609749304717)	(16, 0.0195475533100353)	(18, 0.019639161416519266)	(20, 0.02002445433496655)	(22, 0.02062619385794949)	(24, 0.021866495770247157)	(26, 0.05925607499607208)	(28, 0.15830060424168166)	(30, 0.2555354243248873)	(32, 0.36351982702090313)	(34, 0.513927764205907)	(36, 0.9447966137476573)	(38, 1.7156123690271268)	(40, 3.1464977619151657)	(42, 5.692422657027027)	(44, 7.8278372570851635)	(46, 9.615097044688357)	(48, 11.055242939399495)	(50, 12.574885810046208)	(52, 14.97519063871489)	(54, 17.190342910517792)	(56, 18.8343536650221)	(58, 20.120233304651613)	(60, 21.31082883799482)	(62, 22.817355583277887)	(64, 24.397375381047063)	(66, 25.789998223341605)	(68, 26.956359820045037)	(70, 27.931888259161994)	(72, 29.040726251824324)	(74, 30.284755356689722)	(76, 31.370679647188084)	(78, 32.312570846970296)	(80, 33.16649221908585)	(82, 34.09352673948122)	(84, 35.09663281112462)	(86, 36.047199837462074)	(88, 36.88698122890622)
SRR10215682_2 - nextera_transposase_sequence	(1, 0.018515614934054108)	(2, 0.018713201046078355)	(3, 0.018714997283460395)	(4, 0.018804809152562326)	(5, 0.01881019786470844)	(6, 0.018819179051618635)	(7, 0.0188640849861696)	(8, 0.018874862410461834)	(9, 0.018962878042181726)	(10, 0.01902395011317104)	(12, 0.019093105252379526)	(14, 0.019259257210218098)	(16, 0.019288895127021734)	(18, 0.019383197589578762)	(20, 0.01975142625289668)	(22, 0.020342388351587387)	(24, 0.021446176222850118)	(26, 0.05803732793235887)	(28, 0.15499732369611263)	(30, 0.25034609452817774)	(32, 0.35630613769463604)	(34, 0.5044930273567492)	(36, 0.9303719294511961)	(38, 1.6944940061264986)	(40, 3.1162203846035226)	(42, 5.649730585049424)	(44, 7.776996554223943)	(46, 9.561049159981506)	(48, 11.002988597718609)	(50, 12.528932669101515)	(52, 14.942376974219808)	(54, 17.169965495537255)	(56, 18.82528087000542)	(58, 20.12222982250175)	(60, 21.326322283533592)	(62, 22.851656532325293)	(64, 24.456313522026512)	(66, 25.873098451465548)	(68, 27.06071133263588)	(70, 28.053257324710266)	(72, 29.17972269292124)	(74, 30.442400334286962)	(76, 31.541894300087932)	(78, 32.4965504608256)	(80, 33.362990709375275)	(82, 34.30315841938942)	(84, 35.3227063499093)	(86, 36.28833662293254)	(88, 37.142422350768555)
SRR10215683_1 - nextera_transposase_sequence	(1, 0.026433591129138383)	(2, 0.02669468716264177)	(3, 0.026698498783568825)	(4, 0.02682237646369817)	(5, 0.02683381132647934)	(6, 0.0268376229474064)	(7, 0.026881456588067548)	(8, 0.026890985640385192)	(9, 0.027014863320514535)	(10, 0.027088237023360377)	(12, 0.027195915314549728)	(14, 0.027404601560306087)	(16, 0.02745605844282135)	(18, 0.02760661746944009)	(20, 0.02814215020969156)	(22, 0.028974989382253458)	(24, 0.030589210844861978)	(26, 0.07391971754364282)	(28, 0.19183030511167906)	(30, 0.3116428915223166)	(32, 0.4413323406601899)	(34, 0.628984156330583)	(36, 1.1476390391170457)	(38, 2.0552593555520975)	(40, 3.6504713116921566)	(42, 6.345753277779593)	(44, 8.706384455523768)	(46, 10.708077196377474)	(48, 12.278324941255775)	(50, 13.887470277694689)	(52, 16.318774624857888)	(54, 18.571084300381266)	(56, 20.28132144704758)	(58, 21.635104380762634)	(60, 22.86547084048052)	(62, 24.37922655159891)	(64, 25.953704242801017)	(66, 27.33629254876707)	(68, 28.495155858609067)	(70, 29.46957578469602)	(72, 30.567493181724842)	(74, 31.776945277415965)	(76, 32.825704199348536)	(78, 33.72843515903941)	(80, 34.55125643889976)	(82, 35.41968185734189)	(84, 36.355205144773464)	(86, 37.24547019822239)	(88, 38.0310157312266)
SRR10215683_2 - nextera_transposase_sequence	(1, 0.02613819050729149)	(2, 0.026408815593112516)	(3, 0.026410721403576042)	(4, 0.0265422223255595)	(5, 0.026547939756950086)	(6, 0.02655175137787714)	(7, 0.026595585018538294)	(8, 0.02660320826039241)	(9, 0.026738520803302922)	(10, 0.026810941600917)	(12, 0.026919572797338115)	(14, 0.02716161072620622)	(16, 0.027206397272099135)	(18, 0.02735790920394964)	(20, 0.027884865797115233)	(22, 0.028686259097028908)	(24, 0.030101323366198716)	(26, 0.0728534165892987)	(28, 0.18926889584869694)	(30, 0.3078341293109552)	(32, 0.4360713508756199)	(34, 0.6219974551712881)	(36, 1.1373190754570395)	(38, 2.0406351189602128)	(40, 3.6318953771041453)	(42, 6.325623154758575)	(44, 8.688737603536726)	(46, 10.69588477393705)	(48, 12.27342796126974)	(50, 13.89181933717246)	(52, 16.3364567343385)	(54, 18.59662883092917)	(56, 20.31453781761642)	(58, 21.6743964750892)	(60, 22.911107377840167)	(62, 24.435764324809945)	(64, 26.022864198711993)	(66, 27.417258047594377)	(68, 28.585996314353146)	(70, 29.57051322427587)	(72, 30.6791736748876)	(74, 31.898019510353457)	(76, 32.95589201792262)	(78, 33.86652351489005)	(80, 34.6983564195272)	(82, 35.57605646459009)	(84, 36.522682050876945)	(86, 37.425034707190804)	(88, 38.22105933902872)
SRR10215684_1 - nextera_transposase_sequence	(1, 0.04600439216709032)	(2, 0.04758649364194188)	(3, 0.047599488315246616)	(4, 0.048510739780741205)	(5, 0.0485123641149043)	(6, 0.0485513481348185)	(7, 0.048830733610870314)	(8, 0.04887946363576308)	(9, 0.049329404198939546)	(10, 0.049666453537781124)	(12, 0.05026014767439124)	(14, 0.051879608834993915)	(16, 0.05200955556804127)	(18, 0.052375030754736956)	(20, 0.05362008289074695)	(22, 0.05504381178469704)	(24, 0.05814872653744731)	(26, 0.13982918209560777)	(28, 0.3685687311092982)	(30, 0.5682749312918831)	(32, 0.7627808256513291)	(34, 1.1815236147243748)	(36, 2.3572629754939793)	(38, 4.161523009497466)	(40, 6.493583628283991)	(42, 9.457571149044403)	(44, 12.348418151109112)	(46, 15.10945405202908)	(48, 17.353971993262846)	(50, 19.452890305286623)	(52, 21.88485722110828)	(54, 24.188604883265032)	(56, 26.238796419064375)	(58, 27.96676959909825)	(60, 29.533620200492543)	(62, 31.175570267583225)	(64, 32.86446196765311)	(66, 34.47333490601367)	(68, 35.89990800908334)	(70, 37.1433374352644)	(72, 38.437844049203875)	(74, 39.80839305482142)	(76, 41.056918829439184)	(78, 42.17940845550722)	(80, 43.203675406900174)	(82, 44.25333719859891)	(84, 45.31703892263633)	(86, 46.32773618643081)	(88, 47.238285939566936)
SRR10215684_2 - nextera_transposase_sequence	(1, 0.04542937787335576)	(2, 0.046959500654988384)	(3, 0.04697087099413003)	(4, 0.047864254783830606)	(5, 0.047872376454646065)	(6, 0.047914609142886457)	(7, 0.04819074595061209)	(8, 0.04824434897799412)	(9, 0.048679670533702764)	(10, 0.049006161700484246)	(12, 0.04959335850044199)	(14, 0.051359821902804484)	(16, 0.05150682414456431)	(18, 0.051869862830015365)	(20, 0.053127909639330076)	(22, 0.05454108036122008)	(24, 0.05717006520418441)	(26, 0.13822109127414672)	(28, 0.36585284438860854)	(30, 0.5651123526763431)	(32, 0.7592925680360891)	(34, 1.1777917069846708)	(36, 2.354917436962474)	(38, 4.161041394418109)	(40, 6.498554902990135)	(42, 9.471957064559827)	(44, 12.374660081680943)	(46, 15.148814917469124)	(48, 17.408394497230162)	(50, 19.522998192099834)	(52, 21.97288313807456)	(54, 24.293183577520303)	(56, 26.35792427441846)	(58, 28.098382086829854)	(60, 29.675381528075146)	(62, 31.326422181309574)	(64, 33.02472689785458)	(66, 34.64251661860343)	(68, 36.077543568824915)	(70, 37.328180977854686)	(72, 38.62949355193752)	(74, 40.00627431557177)	(76, 41.256568990093136)	(78, 42.38029960746178)	(80, 43.406805703498556)	(82, 44.45812918904613)	(84, 45.5232944381645)	(86, 46.535127923706064)	(88, 47.44623319912597)
SRR10215685_1 - nextera_transposase_sequence	(1, 0.05406096832259071)	(2, 0.054825219647216046)	(3, 0.054845999894713414)	(4, 0.05525006026271774)	(5, 0.055252369179106336)	(6, 0.05526853159382651)	(7, 0.05540475766075369)	(8, 0.055446318155748416)	(9, 0.05582498044347819)	(10, 0.05608242462080666)	(12, 0.056574223811577645)	(14, 0.057904159651409035)	(16, 0.057983817266815604)	(18, 0.058237798069561184)	(20, 0.059324143230395684)	(22, 0.060606746284260854)	(24, 0.06343747777667977)	(26, 0.14703872237496987)	(28, 0.35753570277411684)	(30, 0.5311581339891888)	(32, 0.7089019809579047)	(34, 1.0734106112255821)	(36, 2.127484047696671)	(38, 3.7861714841437477)	(40, 6.071890189783691)	(42, 9.28707588669316)	(44, 12.252562666299703)	(46, 14.944949661004895)	(48, 17.084819890668193)	(50, 19.139278685284538)	(52, 21.791009125761136)	(54, 24.236710339050518)	(56, 26.25193948976642)	(58, 27.920896986309973)	(60, 29.425861387437095)	(62, 31.091437475929546)	(64, 32.790787238896186)	(66, 34.3831591332882)	(68, 35.767706618000865)	(70, 36.94959935682825)	(72, 38.23336033226231)	(74, 39.58537518505965)	(76, 40.808456683343195)	(78, 41.90322130778871)	(80, 42.88695014310664)	(82, 43.91065671123491)	(84, 44.97378571778207)	(86, 45.98792990868698)	(88, 46.89392330149184)
SRR10215685_2 - nextera_transposase_sequence	(1, 0.05315587309826102)	(2, 0.0538901085098346)	(3, 0.053910888757331965)	(4, 0.05432418479089068)	(5, 0.054331111540056466)	(6, 0.05434727395477664)	(7, 0.05447657327253803)	(8, 0.054518133767532756)	(9, 0.054899104971651125)	(10, 0.0551577036071739)	(12, 0.05564950279794488)	(14, 0.05731423151412272)	(16, 0.05740543371147226)	(18, 0.05766403234699504)	(20, 0.05871805267838919)	(22, 0.05996140415364823)	(24, 0.06242501794028034)	(26, 0.1440128874477146)	(28, 0.34960111160470614)	(30, 0.5195916173405162)	(32, 0.6935788573449863)	(34, 1.0519607779755236)	(36, 2.0927902700416254)	(38, 3.7322294250151695)	(40, 5.997522301823397)	(42, 9.190556254900674)	(44, 12.139586232947497)	(46, 14.821756272633152)	(48, 16.9589839474897)	(50, 19.01766113234801)	(52, 21.679353392583206)	(54, 24.133707270038855)	(56, 26.158912094011686)	(58, 27.840307723140604)	(60, 29.358738879104216)	(62, 31.041121569989258)	(64, 32.76382602222655)	(66, 34.37951912660158)	(68, 35.786528904400704)	(70, 36.98738131015304)	(72, 38.28964940489989)	(74, 39.65937364639777)	(76, 40.89645525920358)	(78, 42.00472473560598)	(80, 43.000807428061094)	(82, 44.03673278171782)	(84, 45.11491938649321)	(86, 46.143449280957256)	(88, 47.06287594931097)
